Source,Target,Type,Weight
A1618,A2484,Undirected,1
A1725,A2623,Undirected,1
A1824,A1839,Undirected,1
A417,A4705,Undirected,1
A1982,A4131,Undirected,1
A2790,A4397,Undirected,1
A3666,A5418,Undirected,1
A183,A3358,Undirected,1
A1618,A2554,Undirected,1
A2427,A3030,Undirected,1
A1725,A3669,Undirected,1
A719,A3161,Undirected,1
A3231,A4697,Undirected,1
A3810,A4204,Undirected,1
A375,A506,Undirected,2
A1749,A2572,Undirected,4
A3004,A3456,Undirected,1
A903,A2345,Undirected,1
A1262,A5469,Undirected,1
A904,A2470,Undirected,1
A2809,A4705,Undirected,1
A904,A1790,Undirected,1
A2304,A4058,Undirected,1
A1630,A2811,Undirected,1
A264,A375,Undirected,1
A2430,A3053,Undirected,1
A4336,A4527,Undirected,1
A1815,A1942,Undirected,1
A2223,A3745,Undirected,1
A886,A1012,Undirected,1
A3004,A4423,Undirected,1
A1865,A3946,Undirected,1
A1052,A5135,Undirected,1
A1326,A3788,Undirected,1
A288,A1639,Undirected,1
A1727,A3554,Undirected,2
A1622,A4775,Undirected,1
A1164,A2427,Undirected,1
A1312,A2715,Undirected,2
A1436,A1727,Undirected,1
A903,A3962,Undirected,1
A111,A1275,Undirected,1
A3602,A4054,Undirected,1
A1857,A3245,Undirected,1
A2788,A3004,Undirected,1
A2656,A4309,Undirected,1
A904,A2183,Undirected,1
A437,A1815,Undirected,1
A3461,A4306,Undirected,1
A1326,A5032,Undirected,1
A4054,A4054,Undirected,1
A726,A2996,Undirected,1
A1599,A4416,Undirected,1
A1898,A1898,Undirected,1
A3554,A4269,Undirected,1
A1368,A2429,Undirected,1
A974,A4117,Undirected,1
A737,A4687,Undirected,1
A2715,A3744,Undirected,1
A276,A1012,Undirected,1
A1120,A1262,Undirected,1
A2132,A3081,Undirected,1
A4291,A5418,Undirected,2
A1725,A1989,Undirected,1
A2430,A4409,Undirected,1
A1367,A3554,Undirected,1
A1312,A4336,Undirected,1
A726,A5099,Undirected,1
A4694,A4741,Undirected,1
A3231,A4843,Undirected,1
A2862,A3388,Undirected,1
A363,A1618,Undirected,1
A2427,A3939,Undirected,1
A297,A1417,Undirected,1
A2430,A3047,Undirected,1
A2091,A3004,Undirected,1
A375,A1390,Undirected,1
A1790,A2790,Undirected,1
A5297,A5418,Undirected,1
A888,A1815,Undirected,1
A455,A3868,Undirected,1
A1395,A3977,Undirected,1
A377,A2429,Undirected,1
A2692,A3004,Undirected,1
A1368,A5072,Undirected,1
A1052,A2456,Undirected,1
A3004,A4188,Undirected,1
A248,A3255,Undirected,1
A1965,A3199,Undirected,1
A1599,A3521,Undirected,1
A345,A4058,Undirected,1
A1217,A1390,Undirected,1
A1428,A2572,Undirected,2
A1536,A4993,Undirected,1
A3004,A3335,Undirected,1
A30,A4299,Undirected,1
A4687,A5345,Undirected,1
A2430,A2868,Undirected,1
A3867,A5320,Undirected,1
A702,A2656,Undirected,1
A32,A1804,Undirected,2
A907,A1815,Undirected,2
A2427,A2514,Undirected,1
A3793,A4220,Undirected,1
A904,A3004,Undirected,8
A4276,A5286,Undirected,1
A3117,A4416,Undirected,1
A936,A3015,Undirected,1
A1618,A3280,Undirected,5
A1618,A2282,Undirected,1
A1925,A3524,Undirected,1
A661,A4705,Undirected,1
A1348,A5256,Undirected,2
A4705,A5120,Undirected,1
A2762,A2958,Undirected,1
A1790,A1897,Undirected,2
A2373,A3658,Undirected,1
A385,A2722,Undirected,1
A2498,A2768,Undirected,1
A1725,A2837,Undirected,2
A123,A1616,Undirected,1
A447,A1599,Undirected,1
A564,A4506,Undirected,1
A297,A1815,Undirected,2
A385,A1120,Undirected,1
A1657,A2430,Undirected,3
A1898,A4705,Undirected,1
A2764,A4976,Undirected,1
A1749,A3445,Undirected,1
A1296,A3187,Undirected,1
A881,A2074,Undirected,1
A2519,A2614,Undirected,1
A1433,A4993,Undirected,1
A1804,A3962,Undirected,1
A673,A2603,Undirected,1
A1326,A1824,Undirected,2
A1897,A5135,Undirected,1
A174,A3004,Undirected,1
A3456,A3554,Undirected,1
A232,A467,Undirected,1
A971,A2631,Undirected,1
A3849,A4697,Undirected,1
A4705,A5382,Undirected,1
A2530,A4705,Undirected,1
A2030,A3811,Undirected,1
A2427,A3359,Undirected,3
A1275,A2316,Undirected,1
A917,A4184,Undirected,1
A3630,A4146,Undirected,1
A1504,A5418,Undirected,2
A622,A1326,Undirected,1
A904,A3199,Undirected,1
A3445,A4384,Undirected,1
A1326,A2074,Undirected,3
A1312,A2427,Undirected,4
A2572,A4276,Undirected,2
A66,A5094,Undirected,1
A3788,A4527,Undirected,1
A365,A1599,Undirected,1
A3831,A4546,Undirected,1
A1275,A4058,Undirected,2
A936,A5349,Undirected,1
A3201,A5007,Undirected,1
A2809,A4725,Undirected,1
A2427,A3004,Undirected,42
A3962,A5337,Undirected,1
A297,A3811,Undirected,1
A3560,A4976,Undirected,1
A3102,A5027,Undirected,1
A755,A2923,Undirected,1
A2427,A4443,Undirected,1
A3031,A3456,Undirected,1
A3201,A3348,Undirected,2
A1804,A3206,Undirected,1
A1343,A1725,Undirected,1
A1790,A4054,Undirected,4
A4114,A5391,Undirected,1
A881,A3033,Undirected,1
A2304,A3771,Undirected,3
A3280,A4336,Undirected,2
A2132,A2939,Undirected,1
A1413,A5401,Undirected,1
A1223,A1594,Undirected,1
A574,A4802,Undirected,1
A2522,A5320,Undirected,1
A881,A4776,Undirected,1
A1537,A3050,Undirected,1
A1537,A5418,Undirected,2
A438,A1576,Undirected,4
A255,A2132,Undirected,1
A430,A3839,Undirected,1
A4131,A4217,Undirected,1
A1312,A1326,Undirected,1
A651,A1726,Undirected,1
A3680,A5416,Undirected,1
A2527,A3171,Undirected,1
A1962,A3280,Undirected,1
A811,A2298,Undirected,1
A506,A3025,Undirected,1
A3602,A4058,Undirected,2
A2319,A3041,Undirected,1
A1726,A3380,Undirected,3
A526,A3348,Undirected,1
A710,A5418,Undirected,1
A1326,A2288,Undirected,1
A2132,A2572,Undirected,1
A1576,A2427,Undirected,2
A2683,A4096,Undirected,1
A1725,A2338,Undirected,1
A1821,A2218,Undirected,1
A811,A2745,Undirected,1
A3910,A4065,Undirected,1
A3206,A3515,Undirected,1
A779,A3864,Undirected,1
A301,A5256,Undirected,2
A4954,A5418,Undirected,1
A1652,A2427,Undirected,1
A577,A1790,Undirected,1
A1662,A3868,Undirected,1
A1326,A2572,Undirected,3
A1368,A3548,Undirected,1
A2375,A5208,Undirected,1
A438,A3280,Undirected,2
A1790,A1829,Undirected,2
A3554,A4427,Undirected,1
A26,A1326,Undirected,1
A1367,A1727,Undirected,1
A1695,A3666,Undirected,1
A1615,A2745,Undirected,1
A3245,A3962,Undirected,1
A726,A1540,Undirected,1
A1725,A3768,Undirected,1
A301,A1262,Undirected,1
A2427,A4860,Undirected,1
A1057,A1786,Undirected,1
A2681,A4165,Undirected,1
A3040,A4379,Undirected,1
A2324,A4035,Undirected,1
A3163,A4409,Undirected,1
A2572,A3932,Undirected,2
A1076,A3830,Undirected,1
A272,A1618,Undirected,1
A1618,A5401,Undirected,1
A2611,A3554,Undirected,1
A3359,A5094,Undirected,1
A91,A2427,Undirected,1
A1706,A1790,Undirected,1
A679,A2905,Undirected,1
A1962,A1989,Undirected,1
A2572,A5418,Undirected,14
A1790,A3348,Undirected,1
A3359,A4054,Undirected,1
A1537,A3290,Undirected,1
A1790,A4797,Undirected,1
A110,A3046,Undirected,1
A577,A2570,Undirected,1
A2902,A5135,Undirected,1
A3290,A3831,Undirected,1
A2427,A4653,Undirected,1
A4058,A4967,Undirected,1
A1815,A3541,Undirected,1
A1536,A5195,Undirected,1
A1205,A1622,Undirected,1
A4476,A4650,Undirected,1
A1,A2821,Undirected,1
A3932,A4331,Undirected,1
A912,A2514,Undirected,1
A3830,A4752,Undirected,1
A2683,A4459,Undirected,1
A1368,A1961,Undirected,1
A1857,A4384,Undirected,1
A1725,A2609,Undirected,1
A1664,A4204,Undirected,1
A2319,A3932,Undirected,1
A1725,A1815,Undirected,3
A375,A1815,Undirected,1
A1417,A3187,Undirected,1
A3201,A3872,Undirected,2
A1390,A5099,Undirected,1
A1460,A3872,Undirected,1
A1727,A4413,Undirected,1
A2335,A3358,Undirected,1
A1180,A4336,Undirected,1
A1394,A1657,Undirected,1
A1618,A4377,Undirected,1
A1804,A3745,Undirected,1
A848,A5246,Undirected,1
A3004,A4480,Undirected,1
A1831,A4054,Undirected,2
A506,A2702,Undirected,1
A301,A1368,Undirected,1
A832,A4697,Undirected,1
A4054,A5382,Undirected,1
A1381,A2304,Undirected,1
A506,A719,Undirected,1
A2694,A5359,Undirected,1
A2033,A3135,Undirected,1
A2427,A4428,Undirected,1
A1898,A5230,Undirected,1
A1960,A2694,Undirected,1
A2870,A3872,Undirected,1
A737,A1540,Undirected,1
A1853,A3004,Undirected,1
A954,A1815,Undirected,1
A2248,A2427,Undirected,3
A2874,A3201,Undirected,1
A564,A1312,Undirected,1
A1342,A2694,Undirected,1
A887,A2868,Undirected,1
A2970,A5418,Undirected,2
A1011,A2923,Undirected,1
A2427,A5463,Undirected,1
A375,A2315,Undirected,1
A4430,A5401,Undirected,1
A4336,A5001,Undirected,1
A1898,A2979,Undirected,1
A2316,A4736,Undirected,1
A5007,A5013,Undirected,1
A3548,A3745,Undirected,1
A799,A5146,Undirected,1
A1983,A2427,Undirected,1
A4054,A4108,Undirected,1
A255,A5284,Undirected,1
A702,A2830,Undirected,1
A511,A4184,Undirected,1
A3669,A5418,Undirected,1
A1815,A2795,Undirected,1
A3201,A4954,Undirected,1
A725,A4336,Undirected,1
A755,A1011,Undirected,1
A1326,A3445,Undirected,2
A1652,A2560,Undirected,1
A3527,A5370,Undirected,1
