,episode_ref,track_name,trackNo,favourite,artist,disc,date,name,castaway_ref,std_artist,std_disc,std_name,disc_ref
0,3226,I Wish by Stevie Wonder,1,1,Stevie Wonder,I Wish,2/23/2020,Melanie C,2943,stevie wonder,I Wish,melanie c,
1,3226,The Chain by Fleetwood Mac,2,0,Fleetwood Mac,The Chain,2/23/2020,Melanie C,2943,fleetwood mac,The Chain,melanie c,
2,3226,Prince Charming by Adam and the Ants,3,0,Adam and the Ants,Prince Charming,2/23/2020,Melanie C,2943,adam and the ants,Prince Charming,melanie c,
3,3226,Into The Groove by Madonna,4,0,Madonna,Into The Groove,2/23/2020,Melanie C,2943,madonna,Into The Groove,melanie c,
4,3226,Girls & Boys by Blur,5,0,Blur,Girls & Boys,2/23/2020,Melanie C,2943,blur,Girls & Boys,melanie c,
5,3226,everything i wanted by Billie Eilish,6,0,Billie Eilish,everything i wanted,2/23/2020,Melanie C,2943,billie eilish,everything i wanted,melanie c,
6,3226,Heaven on Their Minds by Tim Minchin,7,0,Tim Minchin,Heaven on Their Minds,2/23/2020,Melanie C,2943,tim minchin,Heaven on Their Minds,melanie c,
7,3226,You'll Never Walk Alone by Gerry and the Pacemakers,8,0,Gerry and the Pacemakers,You'll Never Walk Alone,2/23/2020,Melanie C,2943,gerry and the pacemakers,You'll Never Walk Alone,melanie c,
8,3227,Greatest Living Creature by John Grant,1,0,John Grant,Greatest Living Creature,1/3/2020,Dorothy Byrne,2944,john grant,Greatest Living Creature,dorothy byrne,
9,3227,Non-Alignment Pact by Pere Ubu,2,0,Pere Ubu,Non-Alignment Pact,1/3/2020,Dorothy Byrne,2944,pere ubu,Non-Alignment Pact,dorothy byrne,
10,3227,I Know That My Redeemer Liveth by George Frideric Handel,3,1,George Frideric Handel,I Know That My Redeemer Liveth,1/3/2020,Dorothy Byrne,2944,george frideric handel,I Know That My Redeemer Liveth,dorothy byrne,
11,3227,Teacher Don't Teach Me Nonsense by Fela Kuti,4,0,Fela Kuti,Teacher Don't Teach Me Nonsense,1/3/2020,Dorothy Byrne,2944,fela kuti,Teacher Don't Teach Me Nonsense,dorothy byrne,
12,3227,Dido's Lament: When I'm Laid In Earth by Henry Purcell,5,0,Henry Purcell,Dido's Lament: When I'm Laid In Earth,1/3/2020,Dorothy Byrne,2944,henry purcell,Dido's Lament: When I'm Laid In Earth,dorothy byrne,
13,3227,World in Action by Matt Berry,6,0,Matt Berry,World in Action,1/3/2020,Dorothy Byrne,2944,matt berry,World in Action,dorothy byrne,
14,3227,The Wheels on the Bus by Leonard Pearcey,7,0,Leonard Pearcey,The Wheels on the Bus,1/3/2020,Dorothy Byrne,2944,leonard pearcey,The Wheels on the Bus,dorothy byrne,
15,3227,The People United Will Never Be Defeated by Frederic Rzewski,8,0,Frederic Rzewski,The People United Will Never Be Defeated,1/3/2020,Dorothy Byrne,2944,frederic rzewski,The People United Will Never Be Defeated,dorothy byrne,
16,3228,Fantasia on a Theme of Thomas Tallis by Ralph Vaughan Williams,1,1,Ralph Vaughan Williams,Fantasia on a Theme of Thomas Tallis,8/3/2020,Chris Riddell,2945,ralph vaughan williams,Fantasia on a Theme of Thomas Tallis,chris riddell,
17,3228,"The Funeral: September 25, 1977 (Nkosi Sikelel' iAfrika) by Thuli Dumakude",2,0,Thuli Dumakude,"The Funeral: September 25, 1977 (Nkosi Sikelel' iAfrika)",8/3/2020,Chris Riddell,2945,thuli dumakude,"The Funeral: September 25, 1977 (Nkosi Sikelel' iAfrika)",chris riddell,
18,3228,Smoke Signals by Phoebe Bridgers,3,0,Phoebe Bridgers,Smoke Signals,8/3/2020,Chris Riddell,2945,phoebe bridgers,Smoke Signals,chris riddell,
19,3228,Final Day by Young Marble Giants,4,0,Young Marble Giants,Final Day,8/3/2020,Chris Riddell,2945,young marble giants,Final Day,chris riddell,
20,3228,Suzanne by Leonard Cohen,5,0,Leonard Cohen,Suzanne,8/3/2020,Chris Riddell,2945,leonard cohen,Suzanne,chris riddell,
21,3228,Horace In Brighton by Bird in the Belly,6,0,Bird in the Belly,Horace In Brighton,8/3/2020,Chris Riddell,2945,bird in the belly,Horace In Brighton,chris riddell,
22,3228,Klarinettenkonzert A-Dur K. 622 - 2. Adagio - II. Adagio by Wolfgang Amadeus Mozart,7,0,Wolfgang Amadeus Mozart,Klarinettenkonzert A-Dur K. 622 - 2. Adagio - II. Adagio,8/3/2020,Chris Riddell,2945,wolfgang amadeus mozart,Klarinettenkonzert A-Dur K. 622 - 2. Adagio - II. Adagio,chris riddell,
23,3228,Tabula rasa: II. Silentium by Arvo Pärt,8,0,Arvo Pärt,Tabula rasa: II. Silentium,8/3/2020,Chris Riddell,2945,arvo pärt,Tabula rasa: II. Silentium,chris riddell,
24,3229,Bring Me Sunshine by Morecambe & Wise,1,1,Morecambe & Wise,Bring Me Sunshine,3/15/2020,Daniel Radcliffe,2946,morecambe & wise,Bring Me Sunshine,daniel radcliffe,
25,3229,We Will All Go Together When We Go by Tom Lehrer,2,0,Tom Lehrer,We Will All Go Together When We Go,3/15/2020,Daniel Radcliffe,2946,tom lehrer,We Will All Go Together When We Go,daniel radcliffe,
26,3229,Where Is My Mind? by Pixies,3,0,Pixies,Where Is My Mind?,3/15/2020,Daniel Radcliffe,2946,pixies,Where Is My Mind?,daniel radcliffe,
27,3229,"He's Simple, He's Dumb, He's The Pilot by Grandaddy",4,0,Grandaddy,"He's Simple, He's Dumb, He's The Pilot",3/15/2020,Daniel Radcliffe,2946,grandaddy,"He's Simple, He's Dumb, He's The Pilot",daniel radcliffe,
28,3229,Killer Parties by The Hold Steady,5,0,The Hold Steady,Killer Parties,3/15/2020,Daniel Radcliffe,2946,the hold steady,Killer Parties,daniel radcliffe,
29,3229,Into My Arms by Nick Cave & the Bad Seeds,6,0,Nick Cave & the Bad Seeds,Into My Arms,3/15/2020,Daniel Radcliffe,2946,nick cave & the bad seeds,Into My Arms,daniel radcliffe,
30,3229,Emily by Joanna Newsom,7,0,Joanna Newsom,Emily,3/15/2020,Daniel Radcliffe,2946,joanna newsom,Emily,daniel radcliffe,
31,3229,Attaboy by Yo‐Yo Ma,8,0,Yo‐Yo Ma,Attaboy,3/15/2020,Daniel Radcliffe,2946,yo⊐yo ma,Attaboy,daniel radcliffe,
32,3230,My Sweet Lord by George Harrison,1,1,George Harrison,My Sweet Lord,3/22/2020,Dame Helena Morrissey,2947,george harrison,My Sweet Lord,dame helena morrissey,
33,3230,"Polonaise in A Flat, Op. 53, Heroic by Frédéric Chopin",2,0,Frédéric Chopin,"Polonaise in A Flat, Op. 53, Heroic",3/22/2020,Dame Helena Morrissey,2947,frédéric chopin,"Polonaise in A Flat, Op. 53, Heroic",dame helena morrissey,
34,3230,We've Only Just Begun by Carpenters,3,0,Carpenters,We've Only Just Begun,3/22/2020,Dame Helena Morrissey,2947,carpenters,We've Only Just Begun,dame helena morrissey,
35,3230,Being Boring by Pet Shop Boys,4,0,Pet Shop Boys,Being Boring,3/22/2020,Dame Helena Morrissey,2947,pet shop boys,Being Boring,dame helena morrissey,
36,3230,Moon River by Audrey Hepburn,5,0,Audrey Hepburn,Moon River,3/22/2020,Dame Helena Morrissey,2947,audrey hepburn,Moon River,dame helena morrissey,
37,3230,Calm Down by The Clementines,6,0,The Clementines,Calm Down,3/22/2020,Dame Helena Morrissey,2947,the clementines,Calm Down,dame helena morrissey,
38,3230,Condolence by Benjamin Clementine,7,0,Benjamin Clementine,Condolence,3/22/2020,Dame Helena Morrissey,2947,benjamin clementine,Condolence,dame helena morrissey,
39,3230,God Is by Kanye West,8,0,Kanye West,God Is,3/22/2020,Dame Helena Morrissey,2947,kanye west,God Is,dame helena morrissey,
40,3231,Bridge Over Troubled Water by Johnny Cash,1,0,Johnny Cash,Bridge Over Troubled Water,3/29/2020,Brian Cox,2948,johnny cash,Bridge Over Troubled Water,brian cox,
41,3231,Saturday Night At The Movies by The Drifters,2,0,The Drifters,Saturday Night At The Movies,3/29/2020,Brian Cox,2948,the drifters,Saturday Night At The Movies,brian cox,
42,3231,The Air That I Breathe by k.d. lang,3,0,k.d. lang,The Air That I Breathe,3/29/2020,Brian Cox,2948,k.d. lang,The Air That I Breathe,brian cox,
43,3231,Get Back by The Beatles,4,0,The Beatles,Get Back,3/29/2020,Brian Cox,2948,the beatles,Get Back,brian cox,
44,3231,La quête by Jacques Brel,5,0,Jacques Brel,La quête,3/29/2020,Brian Cox,2948,jacques brel,La quête,brian cox,
45,3231,Both Sides Now by Joni Mitchell,6,0,Joni Mitchell,Both Sides Now,3/29/2020,Brian Cox,2948,joni mitchell,Both Sides Now,brian cox,
46,3231,God Only Knows by The Beach Boys,7,1,The Beach Boys,God Only Knows,3/29/2020,Brian Cox,2948,the beach boys,God Only Knows,brian cox,
47,3231,Don't Get Me Wrong by Pretenders,8,0,Pretenders,Don't Get Me Wrong,3/29/2020,Brian Cox,2948,pretenders,Don't Get Me Wrong,brian cox,
48,3232,Moonage Daydream by David Bowie,1,1,David Bowie,Moonage Daydream,10/5/2020,Simon Armitage,2949,david bowie,Moonage Daydream,simon armitage,
49,3232,"The Lamb by Choir of St John’s College, Cambridge",2,0,"Choir of St John’s College, Cambridge",The Lamb,10/5/2020,Simon Armitage,2949,"choir of st john⊙s college, cambridge",The Lamb,simon armitage,
50,3232,You've Got To Pick A Pocket Or Two by Jonathan Pryce,3,0,Jonathan Pryce,You've Got To Pick A Pocket Or Two,10/5/2020,Simon Armitage,2949,jonathan pryce,You've Got To Pick A Pocket Or Two,simon armitage,
51,3232,Icecrust and Snowflake by Ted Hughes,4,0,Ted Hughes,Icecrust and Snowflake,10/5/2020,Simon Armitage,2949,ted hughes,Icecrust and Snowflake,simon armitage,
52,3232,Atmosphere by Joy Division,5,0,Joy Division,Atmosphere,10/5/2020,Simon Armitage,2949,joy division,Atmosphere,simon armitage,
53,3232,Tainted Love / Where Did Our Love Go? by Soft Cell,6,0,Soft Cell,Tainted Love / Where Did Our Love Go?,10/5/2020,Simon Armitage,2949,soft cell,Tainted Love / Where Did Our Love Go?,simon armitage,
54,3232,Holmfirth Anthem by Jon Rennard,7,0,Jon Rennard,Holmfirth Anthem,10/5/2020,Simon Armitage,2949,jon rennard,Holmfirth Anthem,simon armitage,
55,3232,My Heart's in the Highlands by Else Torpe,8,0,Else Torpe,My Heart's in the Highlands,10/5/2020,Simon Armitage,2949,else torpe,My Heart's in the Highlands,simon armitage,
56,3233,Like A Girl by Lizzo,1,1,Lizzo,Like A Girl,5/17/2020,Sinéad Burke,2950,lizzo,Like A Girl,sinéad burke,
57,3233,Awoo by Sofi Tukker,2,0,Sofi Tukker,Awoo,5/17/2020,Sinéad Burke,2950,sofi tukker,Awoo,sinéad burke,
58,3233,Smalltown Boy by Bronski Beat,3,0,Bronski Beat,Smalltown Boy,5/17/2020,Sinéad Burke,2950,bronski beat,Smalltown Boy,sinéad burke,
59,3233,you should see me in a crown by Billie Eilish,4,0,Billie Eilish,you should see me in a crown,5/17/2020,Sinéad Burke,2950,billie eilish,you should see me in a crown,sinéad burke,
60,3233,I Put A Spell On You by Nina Simone,5,0,Nina Simone,I Put A Spell On You,5/17/2020,Sinéad Burke,2950,nina simone,I Put A Spell On You,sinéad burke,
61,3233,The Sound of Silence by Simon & Garfunkel,6,0,Simon & Garfunkel,The Sound of Silence,5/17/2020,Sinéad Burke,2950,simon & garfunkel,The Sound of Silence,sinéad burke,
62,3233,Vogue by Madonna,7,0,Madonna,Vogue,5/17/2020,Sinéad Burke,2950,madonna,Vogue,sinéad burke,
63,3233,Samhradh Samhradh by The Gloaming,8,0,The Gloaming,Samhradh Samhradh,5/17/2020,Sinéad Burke,2950,the gloaming,Samhradh Samhradh,sinéad burke,
64,3234,Somebody's Gonna Off The Man by Barry White,1,0,Barry White,Somebody's Gonna Off The Man,5/24/2020,Charles Hazlewood,2951,barry white,Somebody's Gonna Off The Man,charles hazlewood,
65,3234,A Rainbow in Curved Air by Terry Riley,2,0,Terry Riley,A Rainbow in Curved Air,5/24/2020,Charles Hazlewood,2951,terry riley,A Rainbow in Curved Air,charles hazlewood,
66,3234,"Ach, ich fühls by Wolfgang Amadeus Mozart",3,1,Wolfgang Amadeus Mozart,"Ach, ich fühls",5/24/2020,Charles Hazlewood,2951,wolfgang amadeus mozart,"Ach, ich fühls",charles hazlewood,
67,3234,"R. Strauss: 4 Lieder, Op. 27 - 4. Morgen! by Richard Strauss",4,0,Richard Strauss,"R. Strauss: 4 Lieder, Op. 27 - 4. Morgen!",5/24/2020,Charles Hazlewood,2951,richard strauss,"R. Strauss: 4 Lieder, Op. 27 - 4. Morgen!",charles hazlewood,
68,3234,Improvisation by Olivier Latry,5,0,Olivier Latry,Improvisation,5/24/2020,Charles Hazlewood,2951,olivier latry,Improvisation,charles hazlewood,
69,3234,Kraftwerk-Rewerk by Paraorchestra,6,0,Paraorchestra,Kraftwerk-Rewerk,5/24/2020,Charles Hazlewood,2951,paraorchestra,Kraftwerk-Rewerk,charles hazlewood,
70,3234,Ndisakuthanda Mna by Pauline Malefane,7,0,Pauline Malefane,Ndisakuthanda Mna,5/24/2020,Charles Hazlewood,2951,pauline malefane,Ndisakuthanda Mna,charles hazlewood,
71,3234,The Last Time/Ultima Vez by Pauline Oliveros,8,0,Pauline Oliveros,The Last Time/Ultima Vez,5/24/2020,Charles Hazlewood,2951,pauline oliveros,The Last Time/Ultima Vez,charles hazlewood,
72,3235,Faith's Song by Amy Wadge,1,0,Amy Wadge,Faith's Song,5/31/2020,Professor Dame Elizabeth Anionwu,2952,amy wadge,Faith's Song,professor dame elizabeth anionwu,
73,3235,"The Rakes of Mallow, Girl I Left Behind by The Gallowglass Ceili Band",2,0,The Gallowglass Ceili Band,"The Rakes of Mallow, Girl I Left Behind",5/31/2020,Professor Dame Elizabeth Anionwu,2952,the gallowglass ceili band,"The Rakes of Mallow, Girl I Left Behind",professor dame elizabeth anionwu,
74,3235,Manman by Leyla McCalla,3,0,Leyla McCalla,Manman,5/31/2020,Professor Dame Elizabeth Anionwu,2952,leyla mccalla,Manman,professor dame elizabeth anionwu,
75,3235,"A Te,O Cara by Andrea Bocelli",4,0,Andrea Bocelli,"A Te,O Cara",5/31/2020,Professor Dame Elizabeth Anionwu,2952,andrea bocelli,"A Te,O Cara",professor dame elizabeth anionwu,
76,3235,Missa Bilban by The Jamaican Folk Singers,5,0,The Jamaican Folk Singers,Missa Bilban,5/31/2020,Professor Dame Elizabeth Anionwu,2952,the jamaican folk singers,Missa Bilban,professor dame elizabeth anionwu,
77,3235,I Wish I Knew (How It Would Feel To Be Free) by Nina Simone,6,1,Nina Simone,I Wish I Knew (How It Would Feel To Be Free),5/31/2020,Professor Dame Elizabeth Anionwu,2952,nina simone,I Wish I Knew (How It Would Feel To Be Free),professor dame elizabeth anionwu,
78,3235,Nnekata by Flavour N'abania,7,0,Flavour N'abania,Nnekata,5/31/2020,Professor Dame Elizabeth Anionwu,2952,flavour n'abania,Nnekata,professor dame elizabeth anionwu,
79,3235,My Girl by Otis Redding,8,0,Otis Redding,My Girl,5/31/2020,Professor Dame Elizabeth Anionwu,2952,otis redding,My Girl,professor dame elizabeth anionwu,
80,3236,Livin' La Vida Loca by Ricky Martin,1,1,Ricky Martin,Livin' La Vida Loca,7/6/2020,Martin Lewis,2953,ricky martin,Livin' La Vida Loca,martin lewis,
81,3236,Stand And Deliver by Adam and the Ants,2,0,Adam and the Ants,Stand And Deliver,7/6/2020,Martin Lewis,2953,adam and the ants,Stand And Deliver,martin lewis,
82,3236,Let's Call the Whole Thing Off by Ella Fitzgerald,3,0,Ella Fitzgerald,Let's Call the Whole Thing Off,7/6/2020,Martin Lewis,2953,ella fitzgerald,Let's Call the Whole Thing Off,martin lewis,
83,3236,The Circle Game by Joni Mitchell,4,0,Joni Mitchell,The Circle Game,7/6/2020,Martin Lewis,2953,joni mitchell,The Circle Game,martin lewis,
84,3236,(I Can't Get No) Satisfaction by The Rolling Stones,5,0,The Rolling Stones,(I Can't Get No) Satisfaction,7/6/2020,Martin Lewis,2953,the rolling stones,(I Can't Get No) Satisfaction,martin lewis,
85,3236,The Blue Danube by Johann Strauss II,6,0,Johann Strauss II,The Blue Danube,7/6/2020,Martin Lewis,2953,johann strauss ii,The Blue Danube,martin lewis,
86,3236,I Fought The Lloyds by Oystar,7,0,Oystar,I Fought The Lloyds,7/6/2020,Martin Lewis,2953,oystar,I Fought The Lloyds,martin lewis,
87,3236,Can't Take My Eyes Off You by The Four Seasons,8,0,The Four Seasons,Can't Take My Eyes Off You,7/6/2020,Martin Lewis,2953,the four seasons,Can't Take My Eyes Off You,martin lewis,
88,3237,Shotgun by George Ezra,1,0,George Ezra,Shotgun,6/14/2020,Joe Wicks,2954,george ezra,Shotgun,joe wicks,
89,3237,Bright Side Of The Road by Van Morrison,2,0,Van Morrison,Bright Side Of The Road,6/14/2020,Joe Wicks,2954,van morrison,Bright Side Of The Road,joe wicks,
90,3237,Three Little Birds by Bob Marley & The Wailers,3,0,Bob Marley & The Wailers,Three Little Birds,6/14/2020,Joe Wicks,2954,bob marley & the wailers,Three Little Birds,joe wicks,
91,3237,When You Were Young by The Killers,4,0,The Killers,When You Were Young,6/14/2020,Joe Wicks,2954,the killers,When You Were Young,joe wicks,
92,3237,Thunder Road by Bruce Springsteen,5,0,Bruce Springsteen,Thunder Road,6/14/2020,Joe Wicks,2954,bruce springsteen,Thunder Road,joe wicks,
93,3237,River by Leon Bridges,6,1,Leon Bridges,River,6/14/2020,Joe Wicks,2954,leon bridges,River,joe wicks,
94,3237,Nothing Can Change This Love by Sam Cooke,7,0,Sam Cooke,Nothing Can Change This Love,6/14/2020,Joe Wicks,2954,sam cooke,Nothing Can Change This Love,joe wicks,
95,3237,You're Welcome by Dwayne Johnson,8,0,Dwayne Johnson,You're Welcome,6/14/2020,Joe Wicks,2954,dwayne johnson,You're Welcome,joe wicks,
96,3238,Get Down And Get With It by Slade,1,0,Slade,Get Down And Get With It,6/21/2020,Mark Johnston,2955,slade,Get Down And Get With It,mark johnston,
97,3238,Pencil Full Of Lead by Paolo Nutini,2,0,Paolo Nutini,Pencil Full Of Lead,6/21/2020,Mark Johnston,2955,paolo nutini,Pencil Full Of Lead,mark johnston,
98,3238,You May Be Right by Billy Joel,3,0,Billy Joel,You May Be Right,6/21/2020,Mark Johnston,2955,billy joel,You May Be Right,mark johnston,
99,3238,You're Still The One by Angus Johnston,4,0,Angus Johnston,You're Still The One,6/21/2020,Mark Johnston,2955,angus johnston,You're Still The One,mark johnston,
100,3238,Romeo and Juliet by Dire Straits,5,0,Dire Straits,Romeo and Juliet,6/21/2020,Mark Johnston,2955,dire straits,Romeo and Juliet,mark johnston,
101,3238,I Knew The Bride by Dave Edmunds,6,0,Dave Edmunds,I Knew The Bride,6/21/2020,Mark Johnston,2955,dave edmunds,I Knew The Bride,mark johnston,
102,3238,Not Ready to Make Nice by The Chicks,7,0,The Chicks,Not Ready to Make Nice,6/21/2020,Mark Johnston,2955,the chicks,Not Ready to Make Nice,mark johnston,
103,3238,Don't Stop by Fleetwood Mac,8,1,Fleetwood Mac,Don't Stop,6/21/2020,Mark Johnston,2955,fleetwood mac,Don't Stop,mark johnston,
104,3239,To Be Alone With You by Bob Dylan,1,0,Bob Dylan,To Be Alone With You,6/28/2020,Helen McCrory,2956,bob dylan,To Be Alone With You,helen mccrory,
105,3239,Will Ye Go Lassie Go by The Corries,2,0,The Corries,Will Ye Go Lassie Go,6/28/2020,Helen McCrory,2956,the corries,Will Ye Go Lassie Go,helen mccrory,
106,3239,Malaika by Miriam Makeba,3,0,Miriam Makeba,Malaika,6/28/2020,Helen McCrory,2956,miriam makeba,Malaika,helen mccrory,
107,3239,"A Message To You, Rudy by The Specials",4,0,The Specials,"A Message To You, Rudy",6/28/2020,Helen McCrory,2956,the specials,"A Message To You, Rudy",helen mccrory,
108,3239,Un Homme et Une Femme (instrumental) by Nicole Croisille and Pierre Barouh,5,0,Nicole Croisille and Pierre Barouh,Un Homme et Une Femme (instrumental),6/28/2020,Helen McCrory,2956,nicole croisille and pierre barouh,Un Homme et Une Femme (instrumental),helen mccrory,
109,3239,Cigarettes And Chocolate Milk by Rufus Wainwright,6,0,Rufus Wainwright,Cigarettes And Chocolate Milk,6/28/2020,Helen McCrory,2956,rufus wainwright,Cigarettes And Chocolate Milk,helen mccrory,
110,3239,Pull Up To The Bumper by Grace Jones,7,0,Grace Jones,Pull Up To The Bumper,6/28/2020,Helen McCrory,2956,grace jones,Pull Up To The Bumper,helen mccrory,
111,3239,Don't You Worry 'Bout A Thing by Stevie Wonder,8,1,Stevie Wonder,Don't You Worry 'Bout A Thing,6/28/2020,Helen McCrory,2956,stevie wonder,Don't You Worry 'Bout A Thing,helen mccrory,
112,3240,Fly Me to the Moon by Julie London,1,0,Julie London,Fly Me to the Moon,5/7/2020,Helen Fielding,2957,julie london,Fly Me to the Moon,helen fielding,
113,3240,The Windmills of Your Mind by Noel Harrison,2,0,Noel Harrison,The Windmills of Your Mind,5/7/2020,Helen Fielding,2957,noel harrison,The Windmills of Your Mind,helen fielding,
114,3240,It Must Be Love by Madness,3,1,Madness,It Must Be Love,5/7/2020,Helen Fielding,2957,madness,It Must Be Love,helen fielding,
115,3240,"Piano Concerto No. 3 in D Minor, Op. 30 by Sergey Rachmaninov",4,0,Sergey Rachmaninov,"Piano Concerto No. 3 in D Minor, Op. 30",5/7/2020,Helen Fielding,2957,sergey rachmaninov,"Piano Concerto No. 3 in D Minor, Op. 30",helen fielding,
116,3240,La Isla Bonita by Madonna,5,0,Madonna,La Isla Bonita,5/7/2020,Helen Fielding,2957,madonna,La Isla Bonita,helen fielding,
117,3240,I Will Survive by Gloria Gaynor,6,0,Gloria Gaynor,I Will Survive,5/7/2020,Helen Fielding,2957,gloria gaynor,I Will Survive,helen fielding,
118,3240,Ive Got the World on a String by Frank Sinatra,7,0,Frank Sinatra,Ive Got the World on a String,5/7/2020,Helen Fielding,2957,frank sinatra,Ive Got the World on a String,helen fielding,
119,3240,"Bewitched, Bothered and Bewildered by Stan Getz & The Oscar Peterson Trio",8,0,Stan Getz & The Oscar Peterson Trio,"Bewitched, Bothered and Bewildered",5/7/2020,Helen Fielding,2957,stan getz & the oscar peterson trio,"Bewitched, Bothered and Bewildered",helen fielding,
120,3241,Lift Me by Madrugada and Ane Brun,1,0,Madrugada and Ane Brun,Lift Me,12/7/2020,Jens Stoltenberg,2958,madrugada and ane brun,Lift Me,jens stoltenberg,
121,3241,No Harm by Smerz,2,0,Smerz,No Harm,12/7/2020,Jens Stoltenberg,2958,smerz,No Harm,jens stoltenberg,
122,3241,"So Long, Marianne by Leonard Cohen",3,0,Leonard Cohen,"So Long, Marianne",12/7/2020,Jens Stoltenberg,2958,leonard cohen,"So Long, Marianne",jens stoltenberg,
123,3241,Hungry Heart by Bruce Springsteen,4,0,Bruce Springsteen,Hungry Heart,12/7/2020,Jens Stoltenberg,2958,bruce springsteen,Hungry Heart,jens stoltenberg,
124,3241,Make You Feel My Love by Ane Brun,5,0,Ane Brun,Make You Feel My Love,12/7/2020,Jens Stoltenberg,2958,ane brun,Make You Feel My Love,jens stoltenberg,
125,3241,Til Ungdommen by Ingebjørg Bratland,6,1,Ingebjørg Bratland,Til Ungdommen,12/7/2020,Jens Stoltenberg,2958,ingebjørg bratland,Til Ungdommen,jens stoltenberg,
126,3241,Free Nelson Mandela by The Special A.K.A.,7,0,The Special A.K.A.,Free Nelson Mandela,12/7/2020,Jens Stoltenberg,2958,the special a.k.a.,Free Nelson Mandela,jens stoltenberg,
127,3241,From Up Here by Ingrid Olava,8,0,Ingrid Olava,From Up Here,12/7/2020,Jens Stoltenberg,2958,ingrid olava,From Up Here,jens stoltenberg,
128,3242,Bury a Friend by Billie Eilish,1,0,Billie Eilish,Bury a Friend,7/19/2020,Annie Nightingale,2959,billie eilish,Bury a Friend,annie nightingale,
129,3242,Some People by Ethel Merman,2,0,Ethel Merman,Some People,7/19/2020,Annie Nightingale,2959,ethel merman,Some People,annie nightingale,
130,3242,Instant Karma! by John Lennon,3,0,John Lennon,Instant Karma!,7/19/2020,Annie Nightingale,2959,john lennon,Instant Karma!,annie nightingale,
131,3242,Too Many Fish In The Sea by The Marvelettes,4,0,The Marvelettes,Too Many Fish In The Sea,7/19/2020,Annie Nightingale,2959,the marvelettes,Too Many Fish In The Sea,annie nightingale,
132,3242,Space Oddity by David Bowie,5,1,David Bowie,Space Oddity,7/19/2020,Annie Nightingale,2959,david bowie,Space Oddity,annie nightingale,
133,3242,Freedom by Beyoncé,6,0,Beyoncé,Freedom,7/19/2020,Annie Nightingale,2959,beyoncé,Freedom,annie nightingale,
134,3242,Gymnopédies No. 1 by Erik Satie,7,0,Erik Satie,Gymnopédies No. 1,7/19/2020,Annie Nightingale,2959,erik satie,Gymnopédies No. 1,annie nightingale,
135,3242,My Way by Sid Vicious,8,0,Sid Vicious,My Way,7/19/2020,Annie Nightingale,2959,sid vicious,My Way,annie nightingale,
136,3243,Rock 'n' Roll Suicide by David Bowie,1,0,David Bowie,Rock 'n' Roll Suicide,7/26/2020,Sharon Horgan,2960,david bowie,Rock 'n' Roll Suicide,sharon horgan,
137,3243,The Queen Is Dead by The Smiths,2,0,The Smiths,The Queen Is Dead,7/26/2020,Sharon Horgan,2960,the smiths,The Queen Is Dead,sharon horgan,
138,3243,Kid's Song by Mic Christopher,3,0,Mic Christopher,Kid's Song,7/26/2020,Sharon Horgan,2960,mic christopher,Kid's Song,sharon horgan,
139,3243,Telephone Thing by The Fall,4,0,The Fall,Telephone Thing,7/26/2020,Sharon Horgan,2960,the fall,Telephone Thing,sharon horgan,
140,3243,The Only One I Know by The Charlatans,5,0,The Charlatans,The Only One I Know,7/26/2020,Sharon Horgan,2960,the charlatans,The Only One I Know,sharon horgan,
141,3243,Everything Goes My Way by Metronomy,6,0,Metronomy,Everything Goes My Way,7/26/2020,Sharon Horgan,2960,metronomy,Everything Goes My Way,sharon horgan,
142,3243,The Suburbs (continued) by Arcade Fire,7,0,Arcade Fire,The Suburbs (continued),7/26/2020,Sharon Horgan,2960,arcade fire,The Suburbs (continued),sharon horgan,
143,3243,Moments Of Pleasure by Kate Bush,8,1,Kate Bush,Moments Of Pleasure,7/26/2020,Sharon Horgan,2960,kate bush,Moments Of Pleasure,sharon horgan,
144,3244,Beautiful War by Kings of Leon,1,0,Kings of Leon,Beautiful War,2/8/2020,Steve Backshall,2961,kings of leon,Beautiful War,steve backshall,
145,3244,The Wind by Cat Stevens,2,0,Cat Stevens,The Wind,2/8/2020,Steve Backshall,2961,cat stevens,The Wind,steve backshall,
146,3244,Fake Plastic Trees by Radiohead,3,0,Radiohead,Fake Plastic Trees,2/8/2020,Steve Backshall,2961,radiohead,Fake Plastic Trees,steve backshall,
147,3244,Even After All by Finley Quaye,4,0,Finley Quaye,Even After All,2/8/2020,Steve Backshall,2961,finley quaye,Even After All,steve backshall,
148,3244,I'm Gonna Be (500 Miles) by Ash Cutler and Rachael Hawnt,5,1,Ash Cutler and Rachael Hawnt,I'm Gonna Be (500 Miles),2/8/2020,Steve Backshall,2961,ash cutler and rachael hawnt,I'm Gonna Be (500 Miles),steve backshall,
149,3244,Last Goodbye by Jeff Buckley,6,0,Jeff Buckley,Last Goodbye,2/8/2020,Steve Backshall,2961,jeff buckley,Last Goodbye,steve backshall,
150,3244,6 Words by Wretch 32,7,0,Wretch 32,6 Words,2/8/2020,Steve Backshall,2961,wretch 32,6 Words,steve backshall,
