Source,Target,Type,Weight
2946,2946,Undirected,15
1142,1142,Undirected,28
95,95,Undirected,28
1859,1859,Undirected,15
1206,1206,Undirected,28
198,198,Undirected,28
1461,1461,Undirected,28
351,351,Undirected,28
311,311,Undirected,28
1510,1510,Undirected,21
2840,2840,Undirected,28
1846,1846,Undirected,28
1927,1927,Undirected,28
984,984,Undirected,28
2900,2900,Undirected,28
2811,2811,Undirected,21
1960,1960,Undirected,21
1027,1027,Undirected,15
530,530,Undirected,28
2102,2102,Undirected,28
911,911,Undirected,21
1330,1330,Undirected,28
200,200,Undirected,28
1995,1995,Undirected,28
2793,2793,Undirected,28
1126,1126,Undirected,28
69,69,Undirected,28
2579,2579,Undirected,21
2158,2158,Undirected,21
2957,2957,Undirected,15
2894,2894,Undirected,21
1835,1835,Undirected,21
852,852,Undirected,28
2963,2963,Undirected,21
1855,1855,Undirected,28
1868,1868,Undirected,120
2245,2245,Undirected,28
1070,1070,Undirected,28
1840,1840,Undirected,15
742,742,Undirected,10
528,528,Undirected,28
2013,2013,Undirected,28
2813,2813,Undirected,28
823,823,Undirected,28
2745,2745,Undirected,28
1565,1565,Undirected,28
2230,2230,Undirected,28
1269,1269,Undirected,28
2316,2316,Undirected,28
2769,2769,Undirected,21
366,366,Undirected,28
2752,2752,Undirected,28
2746,2746,Undirected,28
2071,2071,Undirected,28
1349,1349,Undirected,28
263,263,Undirected,28
2991,2991,Undirected,28
147,147,Undirected,15
1757,1757,Undirected,28
312,312,Undirected,28
2835,2835,Undirected,28
1465,1465,Undirected,28
2986,2986,Undirected,21
170,170,Undirected,28
537,537,Undirected,28
2365,2365,Undirected,28
75,75,Undirected,28
2694,2694,Undirected,15
806,806,Undirected,28
430,430,Undirected,28
1285,1285,Undirected,15
2350,2350,Undirected,28
841,841,Undirected,28
2683,2683,Undirected,21
1725,1725,Undirected,21
461,461,Undirected,120
2053,2053,Undirected,28
32,32,Undirected,15
208,208,Undirected,28
60,60,Undirected,28
284,284,Undirected,28
1221,1221,Undirected,15
895,895,Undirected,21
1028,1028,Undirected,28
637,637,Undirected,15
894,894,Undirected,21
2295,2295,Undirected,28
890,890,Undirected,21
1572,1572,Undirected,21
2922,2922,Undirected,28
2845,2845,Undirected,28
536,536,Undirected,120
2093,2093,Undirected,21
1714,1714,Undirected,28
2014,2014,Undirected,28
768,768,Undirected,28
2805,2805,Undirected,28
2958,2958,Undirected,21
1605,1605,Undirected,21
691,691,Undirected,28
912,912,Undirected,28
1955,1955,Undirected,28
708,708,Undirected,28
997,997,Undirected,28
1508,1508,Undirected,21
1393,1393,Undirected,15
2758,2758,Undirected,28
917,917,Undirected,28
2877,2877,Undirected,28
2931,2931,Undirected,28
1335,1335,Undirected,28
2966,2966,Undirected,28
2890,2890,Undirected,21
2606,2606,Undirected,28
2299,2299,Undirected,15
2960,2960,Undirected,21
2879,2879,Undirected,28
524,524,Undirected,28
2387,2387,Undirected,120
2658,2658,Undirected,21
544,544,Undirected,28
251,251,Undirected,28
503,503,Undirected,28
2604,2604,Undirected,21
407,407,Undirected,28
1477,1477,Undirected,28
1073,1073,Undirected,28
938,938,Undirected,28
223,223,Undirected,21
2733,2733,Undirected,28
1427,1427,Undirected,28
18,18,Undirected,28
2955,2955,Undirected,21
2647,2647,Undirected,28
165,165,Undirected,21
552,552,Undirected,28
2970,2970,Undirected,21
812,812,Undirected,28
2763,2763,Undirected,28
876,876,Undirected,28
204,204,Undirected,10
2012,2012,Undirected,28
1314,1314,Undirected,21
1798,1798,Undirected,28
2767,2767,Undirected,28
2262,2262,Undirected,28
2979,2979,Undirected,3
766,766,Undirected,28
646,646,Undirected,15
2138,2138,Undirected,28
470,470,Undirected,15
2592,2592,Undirected,21
319,319,Undirected,28
2804,2804,Undirected,28
2940,2940,Undirected,21
2948,2948,Undirected,21
2981,2981,Undirected,28
410,410,Undirected,120
2196,2196,Undirected,21
2933,2933,Undirected,21
859,859,Undirected,28
700,700,Undirected,28
1321,1321,Undirected,15
2936,2936,Undirected,15
1731,1731,Undirected,28
2059,2059,Undirected,28
505,505,Undirected,28
1186,1186,Undirected,28
2120,2120,Undirected,28
1979,1979,Undirected,28
2976,2976,Undirected,3
2591,2591,Undirected,28
1519,1519,Undirected,28
299,299,Undirected,28
315,315,Undirected,28
546,546,Undirected,21
273,273,Undirected,28
1792,1792,Undirected,28
2706,2706,Undirected,28
349,349,Undirected,21
513,513,Undirected,28
1117,1117,Undirected,28
300,300,Undirected,28
2945,2945,Undirected,28
2652,2652,Undirected,28
2819,2819,Undirected,28
335,335,Undirected,21
1544,1544,Undirected,28
1570,1570,Undirected,21
446,446,Undirected,28
931,931,Undirected,28
271,271,Undirected,28
2389,2389,Undirected,21
1260,1260,Undirected,15
2440,2440,Undirected,21
1662,1662,Undirected,28
1471,1471,Undirected,28
2776,2776,Undirected,28
1226,1226,Undirected,28
2470,2470,Undirected,21
2791,2791,Undirected,28
1642,1642,Undirected,28
76,76,Undirected,28
2154,2154,Undirected,28
2401,2401,Undirected,28
729,729,Undirected,28
920,920,Undirected,28
1029,1029,Undirected,28
1571,1571,Undirected,15
2214,2214,Undirected,21
360,360,Undirected,28
288,288,Undirected,28
2444,2444,Undirected,21
1182,1182,Undirected,28
1720,1720,Undirected,28
137,137,Undirected,15
23,23,Undirected,15
2339,2339,Undirected,28
2221,2221,Undirected,28
838,838,Undirected,28
2992,2992,Undirected,21
2258,2258,Undirected,21
803,803,Undirected,120
79,79,Undirected,28
150,150,Undirected,28
680,680,Undirected,28
2812,2812,Undirected,28
1902,1902,Undirected,28
1485,1485,Undirected,28
1251,1251,Undirected,21
1399,1399,Undirected,28
22,22,Undirected,10
2972,2972,Undirected,28
2952,2952,Undirected,28
1328,1328,Undirected,28
2888,2888,Undirected,28
2962,2962,Undirected,21
1363,1363,Undirected,21
437,437,Undirected,21
2654,2654,Undirected,21
2179,2179,Undirected,15
788,788,Undirected,21
1306,1306,Undirected,28
1050,1050,Undirected,28
1918,1918,Undirected,28
408,408,Undirected,28
1080,1080,Undirected,28
420,420,Undirected,10
1732,1732,Undirected,28
1733,1733,Undirected,15
726,726,Undirected,21
2309,2309,Undirected,28
605,605,Undirected,28
869,869,Undirected,28
354,354,Undirected,28
2949,2949,Undirected,28
1947,1947,Undirected,15
2716,2716,Undirected,21
9,9,Undirected,21
558,558,Undirected,28
787,787,Undirected,28
548,548,Undirected,28
1574,1574,Undirected,28
482,482,Undirected,28
1438,1438,Undirected,15
2833,2833,Undirected,28
1467,1467,Undirected,28
1729,1729,Undirected,28
423,423,Undirected,28
2828,2828,Undirected,28
808,808,Undirected,15
441,441,Undirected,21
373,373,Undirected,28
778,778,Undirected,28
2505,2505,Undirected,28
2278,2278,Undirected,28
2294,2294,Undirected,28
247,247,Undirected,21
1928,1928,Undirected,28
2965,2965,Undirected,10
227,227,Undirected,21
1513,1513,Undirected,28
498,498,Undirected,28
123,123,Undirected,28
201,201,Undirected,15
1661,1661,Undirected,28
644,644,Undirected,28
561,561,Undirected,15
2022,2022,Undirected,120
248,248,Undirected,28
1353,1353,Undirected,28
642,642,Undirected,21
2465,2465,Undirected,28
2525,2525,Undirected,28
1592,1592,Undirected,28
1492,1492,Undirected,28
1072,1072,Undirected,28
399,399,Undirected,28
92,92,Undirected,15
2450,2450,Undirected,10
2646,2646,Undirected,28
811,811,Undirected,28
769,769,Undirected,28
556,556,Undirected,28
177,177,Undirected,28
2223,2223,Undirected,15
2594,2594,Undirected,28
444,444,Undirected,21
571,571,Undirected,21
2500,2500,Undirected,21
217,217,Undirected,28
2089,2089,Undirected,28
1274,1274,Undirected,21
279,279,Undirected,28
860,860,Undirected,28
1090,1090,Undirected,28
2830,2830,Undirected,28
2346,2346,Undirected,28
2526,2526,Undirected,15
2160,2160,Undirected,21
1615,1615,Undirected,21
773,773,Undirected,28
1194,1194,Undirected,28
484,484,Undirected,28
1275,1275,Undirected,15
1374,1374,Undirected,28
1718,1718,Undirected,28
1952,1952,Undirected,28
2084,2084,Undirected,28
1318,1318,Undirected,21
2483,2483,Undirected,28
2541,2541,Undirected,15
1494,1494,Undirected,28
1065,1065,Undirected,28
709,709,Undirected,28
2447,2447,Undirected,28
2049,2049,Undirected,28
463,463,Undirected,120
2454,2454,Undirected,28
206,206,Undirected,28
1089,1089,Undirected,28
1646,1646,Undirected,28
1160,1160,Undirected,15
397,397,Undirected,21
2253,2253,Undirected,28
1652,1652,Undirected,28
2947,2947,Undirected,21
