Id,Label
castaway_ref,std_name
1366,john dankworth
503,commander ibbett
251,belinda lee
336,bransby williams
1209,jack teagarden
1327,joan cross
1236,james fisher
1898,moira shearer
852,eric sykes
769,earl hines
2654,sir thomas beecham
1696,lupino lane
2900,wendy toye
1622,lionel hale
1821,max jaffa
2859,victor silvester
170,anton walbrook
2262,rex palmer
256,ben lyon
1736,margaret rawlings
1850,michael flanders
279,beryl grey
917,frankie vaughan
886,flora robson
997,geraldo
1147,ian carmichael
482,cleo laine
312,billy mayerl
2431,ruby miller
1995,oliver messel
21,agnes nicholls
1514,kay smart
848,eric robinson
1921,naomi jacob
1281,jean sablon
663,derek mcculloch
2471,sarah vaughan
2784,tito gobbi
2907,wilfrid hyde white
1279,jean pougnet
812,elisabeth schwarzkopf
768,eamonn andrews
826,elsie doris waters
743,dr ludwig koch
1111,hephzibah menuhin
1206,jack payne
2084,percy kahn
691,dickie valentine
80,alicia markova
1065,hardy amies
1073,harry belafonte
2274,richard dimbleby
822,elizabeth seal
261,benno moiseiwitsch
784,edmundo ros
806,elena gerhardt
1492,june paul
934,g h elliott
2059,paul robeson
2677,stanley black
8,aaron copland
423,charlie drake
2462,sandy macpherson
2364,ronnie boyer jeanne ravel
2362,ronald searle
1402,john osborne
2557,sir frederick ashton
1495,june thorburn
430,chris barber
1395,john morris
2096,peter cushing
519,cyril fletcher
1463,judy grinham
857,ernest thesiger
1715,malcolm arnold
2594,sir laurens van der post
2730,sylvia syms
787,edric connor
2827,tyrone guthrie
1760,marjorie westbury
1634,lord brabazon of tara
2227,ray ellington
552,dame rebecca west
72,alfred marks
2316,robert farnon
354,brian vesey fitzgerald
1108,henry sherek
1679,lotte lehmann
2830,uffa fox
1116,hermione baddeley
1067,harold abrahams
980,george melachrino
1186,ivor newton
208,b c hilliam
1979,norman fisher
282,bessie love
419,charles mackerras
1416,john snagge
2598,sir leonard hutton
726,douglas byng
2071,peggy cochrane
916,frankie howerd
578,dave brubeck
71,alfred hitchcock
986,george thalben ball
2702,steve race
2527,sir arthur bliss
263,benny hill
1335,joan sutherland
311,billy cotton
1403,john paddy carstairs
95,andor foldes
865,eve boswell
794,edward moult
2944,dorothy byrne
2436,rupert everett
2969,hilary mcgrady
1859,michael lewis
557,dame sue campbell
134,anne enright
2667,sonita alleyne
2961,steve backshall
2940,zoe ball
1160,ian wright
2943,melanie c
2946,daniel radcliffe
