Id,Label
castaway_ref,std_name
1612,lilli palmer
2903,wilfred andrews
550,dame ninette de valois
2645,sir stanley rous
1290,jennifer vyvyan
2872,virginia mckenna
1924,nat gonella
1842,michael craig
2098,peter diamand
363,bryan forbes
1908,morecambe wise
602,david hicks
665,derek oldham
1493,june ritchie
2124,peter wilson
2736,talbot duckmanton
1506,katharine whitehorn
1223,jacques brunius
575,danny la rue
1893,mitch miller
186,arnold wesker
2686,stephen bishop
2467,sarah churchill
151,anthony burgess
1409,john ridgway
1580,leonard cottrell
1192,jack brabham
1055,gwendoline kirby
963,georg solti
140,anne sharpley
2249,rene cutforth
2482,sheila scott
2278,richard goolden
992,gerald moore
2252,renee houston
991,gerald harper
481,clement freud
196,arthur negus
1134,hugh griffith
236,barry briggs
52,alan whicker
687,dick francis
2352,rolf harris
1412,john schlesinger
2613,sir neville cardus
846,eric porter
2853,very reverend dr w r matthews
664,derek nimmo
987,george woodcock
240,barry john
634,david ward
882,fenella fielding
2927,xenia field
2236,raymond huntley
1663,lord ritchie calder
2385,roy hudd
1105,henry longhurst
1110,henryk szeryng
2789,tom courtenay
1088,heather jenner
1889,miriam karlin
1299,jeremy thorpe
2268,richard briers
29,alan bennett
1401,john ogdon
2609,sir michael hordern
384,captain william warwick
712,doris arnold
2380,roy castle
97,andre previn
1537,kenneth wolstenholme
2192,professor sir denis brogan
649,denis matthews
2573,sir hugh casson
2887,warren mitchell
1173,irene worth
1224,jacques loussier
2256,reverend dr p b clayton
2423,rt hon sir edward boyle
2325,robert merrill
538,dame gladys cooper
491,colin davis
122,ann mallalieu
676,desmond morris
1428,john williams
1396,john mortimer
1352,john bird
2721,susan hampshire
1751,marilyn horne
294,bill boorne
2370,rosalinde fuller
180,archie camden
2732,t dan smith
1435,jon vickers
67,alfie bass
2439,russell braddon
544,dame maggie teyte
2616,sir nicholas sekers
2611,sir michael tippett
1727,margaret drabble
1602,leslie sarony
2821,trevor nunn
541,dame janet baker
2565,sir gordon russell
490,colin cowdrey
1103,henry hall
805,eleanor bron
2564,sir gilbert inglefield
897,francis durbridge
2773,thora hird
850,eric shipton
790,edward chapman
1680,louis armstrong
2554,sir francis mclean
391,carlo maria giulini
798,edwige feuillere
549,dame ngaio marsh
2292,richard rodney bennett
527,dame anne godwin
1785,marty feldman
2286,richard lester
313,billy russell
2240,raymond postgate
218,barbara murray
2266,richard baker
2075,peggy mount
564,dan maskell
2620,sir paul gore booth
1610,lieutenant colonel c h jaeger
2463,sandy powell
674,des wilson
2155,professor asa briggs
187,arthur askey
2373,rosea kemp
321,bob braithwaite
1087,heather harper
47,alan pegler
1814,maurice jacobson
1710,maggie fitzgibbon
1641,lord david cecil
1143,hylda baker
791,edward downes
114,angus wilson
2939,zena skinner
1804,mary wilson
1553,l marsland gander
1554,lady diana cooper
1305,jill bennett
2520,sir alec rose
1119,hetty king
1799,mary stewart
734,dr elsie hall
90,alvar lidell
1950,nicolai gedda
2873,virginia wade
1012,ginger rogers
171,antonia fraser
2675,stanford robinson
1424,john trevelyan
869,evelyn laye
1534,kenneth more
1581,leonard henry
2868,vincent price
2113,peter pears
2210,rachael heyhoe
520,cyril harmer
2681,stanley rubinstein
1117,hermione gingold
1999,olivia manning
673,des o connor
2637,sir robin day
707,donald zec
2588,sir john wolfenden
483,cliff morgan
2766,thea holme
1109,henry williamson
1817,max adrian
2239,raymond mays
153,anthony grey
870,evelyn rothwell
758,dudley moore
1174,irmgard seefried
1613,lillian board
1024,godfrey baseley
1896,moira anderson
2874,viscount montgomery of alamein
2804,tommy steele
103,andrew lloyd webber
1863,michael nyman
739,dr jane goodall
1154,ian mcewan
1930,neil jordan
2110,peter melchett
2503,simon callow
2195,professor stuart hall
1856,michael holroyd
2324,robert mccrum
494,colin montgomerie
24,al alvarez
20,adrian noble
1148,ian dury
1068,harold evans
469,claire tomalin
2523,sir anthony caro
1585,leonard slatkin
2623,sir peter bonfield
1394,john mills
1509,kathleen turner
551,dame norma major
2171,professor geza vermes
486,clive james
705,donald sutherland
745,dr max perutz
2111,peter nichols
45,alan parker
2417,rt hon michael portillo mp
2640,sir roger penrose
954,general sir charles guthrie
1988,norman wisdom
454,christopher lloyd
2360,ronald harwood
474,clarissa dickson wright
1191,j k rowling
2331,robert swan
672,des lynam
55,albie sachs
2783,tina brown
2780,tim smit
2180,professor jocelyn bell burnell
1982,norman painting
2697,stephen sondheim
1769,marquess of bath
977,george macdonald fraser
1740,marguerite patten
2755,terry o neill
1046,griff rhys jones
2194,professor sir richard doll
424,charlie watts
1389,john lill
1107,henry sandon
2186,professor peter vanezis
2493,shirley hughes
2518,sir alec broers
2740,tanni grey thompson
2358,ronald blythe
439,chris tarrant
2742,tasmin little
2585,sir john sulston
2770,thomas allen
2593,sir kyffin williams
907,frank mccourt
2569,sir harry kroto
2644,sir stanley kalms
2076,peggy seeger
1774,martin bell
511,cormac murphy o connor
477,claudia roden
1643,lord deedes
357,bruce fogle
1666,lord roll
2509,simon schama
515,courtney pine
2656,sir timothy clifford
1524,ken follett
2428,rt hon william hague mp
377,cameron mackintosh
135,anne fine
1255,jamie oliver
871,ewan mcgregor
2626,sir peter morris
2723,susana walton
329,bob worcester
611,david linley
2621,sir paul nurse
1516,kazuo ishiguro
2715,sue macgregor
1657,lord may
279,beryl grey
874,fay godwin
720,dorothy rowe
1035,gordon ramsay
884,fiona reynolds
2536,sir christopher bland
