Source,Target,Type,Weight
2474,2474,Undirected,28
2917,2917,Undirected,28
2360,2360,Undirected,28
898,898,Undirected,28
2663,2663,Undirected,28
1125,1125,Undirected,21
2867,2867,Undirected,28
2087,2087,Undirected,28
1530,1530,Undirected,28
1356,1356,Undirected,28
1381,1381,Undirected,28
1726,1726,Undirected,28
1727,1727,Undirected,120
985,985,Undirected,28
906,906,Undirected,28
991,991,Undirected,28
1890,1890,Undirected,28
1536,1536,Undirected,28
2626,2626,Undirected,28
40,40,Undirected,21
1153,1153,Undirected,28
187,187,Undirected,28
2585,2585,Undirected,28
712,712,Undirected,28
1325,1325,Undirected,28
1332,1332,Undirected,28
1533,1533,Undirected,28
1142,1142,Undirected,28
2742,2742,Undirected,28
2239,2239,Undirected,28
1862,1862,Undirected,28
2853,2853,Undirected,28
1353,1353,Undirected,28
2563,2563,Undirected,28
2623,2623,Undirected,28
1580,1580,Undirected,28
1817,1817,Undirected,28
2155,2155,Undirected,28
1678,1678,Undirected,28
184,184,Undirected,21
1873,1873,Undirected,28
983,983,Undirected,28
2324,2324,Undirected,28
1222,1222,Undirected,21
2166,2166,Undirected,21
1886,1886,Undirected,21
2432,2432,Undirected,28
2632,2632,Undirected,28
1802,1802,Undirected,28
1794,1794,Undirected,28
1165,1165,Undirected,28
2395,2395,Undirected,21
237,237,Undirected,28
1478,1478,Undirected,21
2157,2157,Undirected,21
842,842,Undirected,28
2869,2869,Undirected,28
2697,2697,Undirected,28
379,379,Undirected,28
2568,2568,Undirected,28
790,790,Undirected,28
2464,2464,Undirected,28
2256,2256,Undirected,28
1024,1024,Undirected,28
499,499,Undirected,28
316,316,Undirected,28
952,952,Undirected,28
2803,2803,Undirected,28
52,52,Undirected,28
786,786,Undirected,28
171,171,Undirected,120
995,995,Undirected,21
1595,1595,Undirected,28
1836,1836,Undirected,21
694,694,Undirected,28
1800,1800,Undirected,28
532,532,Undirected,28
2423,2423,Undirected,28
1521,1521,Undirected,28
396,396,Undirected,28
929,929,Undirected,28
357,357,Undirected,28
2721,2721,Undirected,28
17,17,Undirected,28
2581,2581,Undirected,28
982,982,Undirected,15
1304,1304,Undirected,28
1908,1908,Undirected,28
1212,1212,Undirected,28
2640,2640,Undirected,28
1499,1499,Undirected,15
1837,1837,Undirected,28
1677,1677,Undirected,28
1850,1850,Undirected,28
538,538,Undirected,28
64,64,Undirected,21
1054,1054,Undirected,28
2616,2616,Undirected,28
2732,2732,Undirected,28
2570,2570,Undirected,28
521,521,Undirected,28
1509,1509,Undirected,28
2428,2428,Undirected,28
2856,2856,Undirected,21
2322,2322,Undirected,28
527,527,Undirected,28
2095,2095,Undirected,28
283,283,Undirected,28
389,389,Undirected,28
191,191,Undirected,28
1060,1060,Undirected,28
2846,2846,Undirected,28
936,936,Undirected,28
2076,2076,Undirected,28
2244,2244,Undirected,28
2344,2344,Undirected,28
94,94,Undirected,28
93,93,Undirected,28
2252,2252,Undirected,28
2194,2194,Undirected,28
2,2,Undirected,10
2491,2491,Undirected,21
2422,2422,Undirected,21
1117,1117,Undirected,28
1663,1663,Undirected,28
4,4,Undirected,21
1967,1967,Undirected,28
245,245,Undirected,28
2493,2493,Undirected,28
831,831,Undirected,28
1105,1105,Undirected,28
907,907,Undirected,28
2509,2509,Undirected,21
1528,1528,Undirected,28
1708,1708,Undirected,28
1121,1121,Undirected,28
905,905,Undirected,28
1863,1863,Undirected,21
2789,2789,Undirected,28
2352,2352,Undirected,28
960,960,Undirected,28
136,136,Undirected,28
2325,2325,Undirected,28
1173,1173,Undirected,28
740,740,Undirected,28
239,239,Undirected,28
1043,1043,Undirected,21
1609,1609,Undirected,28
1334,1334,Undirected,28
535,535,Undirected,10
972,972,Undirected,28
1396,1396,Undirected,120
1805,1805,Undirected,21
1326,1326,Undirected,28
1412,1412,Undirected,28
