Unique Identifier,episode_ref,track_name,date,decade,decade_episode,decade_episode_castaway_name,castaway_ref,std_artist,std_name
17443,2181,When a wooer goes a-wooing (from The Yeomen of the Guard) by Arthur Sullivan,2/9/1970,70,70-44,70-44-isidore godfrey,1179,arthur sullivan,isidore godfrey
17444,2181,Violin Concerto in B Minor by Edward Elgar,2/9/1970,70,70-45,70-45-isidore godfrey,1179,edward elgar,isidore godfrey
17445,2181,When the night wind howls (from Ruddigore) by Arthur Sullivan,2/9/1970,70,70-46,70-46-isidore godfrey,1179,arthur sullivan,isidore godfrey
17446,2181,Symphony No. 9 in C major 'Great' by Franz Schubert,2/9/1970,70,70-47,70-47-isidore godfrey,1179,franz schubert,isidore godfrey
17447,2181,Hail Poetry (from The Pirates of Penzance) by Arthur Sullivan,2/9/1970,70,70-48,70-48-isidore godfrey,1179,arthur sullivan,isidore godfrey
17432,2180,Michael Row The Boat Ashore by The George Mitchell Minstrels,2/16/1970,70,70-49,70-49-frank gillard,904,the george mitchell minstrels,frank gillard
17433,2180,Bach Goes To Town by George Malcolm,2/16/1970,70,70-50,70-50-frank gillard,904,george malcolm,frank gillard
17434,2180,String Quartet in F Major by Maurice Ravel,2/16/1970,70,70-51,70-51-frank gillard,904,maurice ravel,frank gillard
17435,2180,Let Us Take The Road (from The Beggar's Opera) by William McAlpine,2/16/1970,70,70-52,70-52-frank gillard,904,william mcalpine,frank gillard
17436,2180,Concerto For Orchestra by Roberto Gerhard,2/16/1970,70,70-53,70-53-frank gillard,904,roberto gerhard,frank gillard
17437,2180,Fantasia On A Theme By Thomas Tallis by Ralph Vaughan Williams,2/16/1970,70,70-54,70-54-frank gillard,904,ralph vaughan williams,frank gillard
17438,2180,Symphonie Fantastique by Hector Berlioz,2/16/1970,70,70-55,70-55-frank gillard,904,hector berlioz,frank gillard
17439,2180,Rule Britannia by Royal Albert Hall Choral Society,2/16/1970,70,70-56,70-56-frank gillard,904,royal albert hall choral society,frank gillard
17424,2179,Mass in Four Voices by Claudio Monteverdi,2/23/1970,70,70-57,70-57-richard church,2271,claudio monteverdi,richard church
17425,2179,"Well-tempered Clavier, Book 1 - Prelude  in C major by Johann Sebastian Bach",2/23/1970,70,70-58,70-58-richard church,2271,johann sebastian bach,richard church
17426,2179,Che farò senza Euridice (What is Life?) (from Orpheus and Euridice) by Christoph Willibald Gluck,2/23/1970,70,70-59,70-59-richard church,2271,christoph willibald gluck,richard church
17427,2179,Harold in the Mountains (from Harold in Italy) by Hector Berlioz,2/23/1970,70,70-60,70-60-richard church,2271,hector berlioz,richard church
17428,2179,"Barcarolle in F sharp major, Op. 60",2/23/1970,70,70-61,70-61-richard church,2271,barcarolle in f sharp major op 60,richard church
17429,2179,O silver moon (from Rusalka) by Antonín Dvořák,2/23/1970,70,70-62,70-62-richard church,2271,antonin dvorak,richard church
17430,2179,The Lark Ascending by Ralph Vaughan Williams,2/23/1970,70,70-63,70-63-richard church,2271,ralph vaughan williams,richard church
17431,2179,Peter Grimes by Benjamin Britten,2/23/1970,70,70-64,70-64-richard church,2271,benjamin britten,richard church
17416,2178,Piano Concerto No. 2 in F minor,3/2/1970,70,70-65,70-65-isobel baillie,1181,piano concerto no 2,isobel baillie
17417,2178,Symphony No. 4 in E minor by Johannes Brahms,3/2/1970,70,70-66,70-66-isobel baillie,1181,johannes brahms,isobel baillie
17418,2178,St Crispin's Day speech (from Henry V) by William Shakespeare,3/2/1970,70,70-67,70-67-isobel baillie,1181,william shakespeare,isobel baillie
17419,2178,Worthy is the lamb (from Messiah) by George Frideric Handel,3/2/1970,70,70-68,70-68-isobel baillie,1181,george frideric handel,isobel baillie
17420,2178,The Blessed Virgin's Expostulation by Henry Purcell,3/2/1970,70,70-69,70-69-isobel baillie,1181,henry purcell,isobel baillie
17421,2178,Sweet Suffolk Owl by Isobel Baillie & Margaret Field-Hyde,3/2/1970,70,70-70,70-70-isobel baillie,1181,isobel baillie,isobel baillie
17422,2178,The Dream of Gerontius - Take me away by Edward Elgar,3/2/1970,70,70-71,70-71-isobel baillie,1181,edward elgar,isobel baillie
17423,2178,Sleep My Saviour by Isobel Baillie & Muriel Brunskill,3/2/1970,70,70-72,70-72-isobel baillie,1181,isobel baillie,isobel baillie
17408,2177,Rose Of England by Edgar Elmes,3/9/1970,70,70-73,70-73-dr roy strong,750,edgar elmes,dr roy strong
17409,2177,Sleeping Beauty by Peter Ilyich Tchaikovsky,3/9/1970,70,70-74,70-74-dr roy strong,750,pyotr ilyich tchaikovsky,dr roy strong
17410,2177,The Laziest Girl In Town by Marlene Dietrich,3/9/1970,70,70-75,70-75-dr roy strong,750,marlene dietrich,dr roy strong
17411,2177,Queen Elizabeth's Pavane by Thurston Dart,3/9/1970,70,70-76,70-76-dr roy strong,750,thurston dart,dr roy strong
17412,2177,Ellen Terry by Ellen Terry,3/9/1970,70,70-77,70-77-dr roy strong,750,ellen terry,dr roy strong
17413,2177,How blest are the shepherds (from King Arthur) by Henry Purcell,3/9/1970,70,70-78,70-78-dr roy strong,750,henry purcell,dr roy strong
17414,2177,Ascolta! le porte dell'asil (from Don Carlos) by Giuseppe Verdi,3/9/1970,70,70-79,70-79-dr roy strong,750,giuseppe verdi,dr roy strong
17415,2177,For All The Saints by Rodney Christian Fellowship Festival Choir,3/9/1970,70,70-80,70-80-dr roy strong,750,rodney christian fellowship festival choir,dr roy strong
17400,2176,The Four Seasons - Winter by Antonio Vivaldi,3/16/1970,70,70-81,70-81-richard chamberlain,2270,antonio vivaldi,richard chamberlain
17401,2176,A Call From Long Island by Betty Walker & Arlene Golonka,3/16/1970,70,70-82,70-82-richard chamberlain,2270,betty walker arlene golonka,richard chamberlain
17402,2176,Both Sides Now by Joni Mitchell,3/16/1970,70,70-83,70-83-richard chamberlain,2270,joni mitchell,richard chamberlain
17403,2176,Symphony No. 40 In G Minor by Wolfgang Amadeus Mozart,3/16/1970,70,70-84,70-84-richard chamberlain,2270,wolfgang amadeus mozart,richard chamberlain
17404,2176,Ghetto by Delaney & Bonnie,3/16/1970,70,70-85,70-85-richard chamberlain,2270,delaney bonnie,richard chamberlain
17405,2176,Mass in B minor - Sanctus by Johann Sebastian Bach,3/16/1970,70,70-86,70-86-richard chamberlain,2270,johann sebastian bach,richard chamberlain
17406,2176,Dear Mary by Steve Miller Band,3/16/1970,70,70-87,70-87-richard chamberlain,2270,steve miller band,richard chamberlain
17407,2176,Fern Hill by Dylan Thomas,3/16/1970,70,70-88,70-88-richard chamberlain,2270,dylan thomas,richard chamberlain
17392,2175,Three little maids from school (from The Mikado) by Arthur Sullivan,3/23/1970,70,70-89,70-89-judy hashman,1464,arthur sullivan,judy hashman
17393,2175,Serenade by Mario Lanza,3/23/1970,70,70-90,70-90-judy hashman,1464,mario lanza,judy hashman
17394,2175,Edelweiss by Julie Andrews & Christopher Plummer,3/23/1970,70,70-91,70-91-judy hashman,1464,julie andrews,judy hashman
17395,2175,Whither Thou Goest by Perry Como,3/23/1970,70,70-92,70-92-judy hashman,1464,perry como,judy hashman
17396,2175,"Madeira, M'Dear by Flanders and Swann",3/23/1970,70,70-93,70-93-judy hashman,1464,flanders and swann,judy hashman
17397,2175,O Little Town Of Bethlehem by The Tabernacle Choir at Temple Square,3/23/1970,70,70-94,70-94-judy hashman,1464,the tabernacle choir at temple square,judy hashman
17398,2175,The Bowery Grenadiers by Mitch Miller & His Orchestra,3/23/1970,70,70-95,70-95-judy hashman,1464,mitch miller his orchestra,judy hashman
17399,2175,Camelot by Richard Burton,3/23/1970,70,70-96,70-96-judy hashman,1464,richard burton,judy hashman
17384,2174,Aquarius (from Hair) by Ronnie Dyson,3/30/1970,70,70-97,70-97-nyree dawn porter,1991,ronnie dyson,nyree dawn porter
17385,2174,La Plus Que Lente by Claude Debussy,3/30/1970,70,70-98,70-98-nyree dawn porter,1991,claude debussy,nyree dawn porter
17387,2174,"Piano Sonata No. 8 in C minor, Op. 13 'Pathétique' by Ludwig van Beethoven",3/30/1970,70,70-99,70-99-nyree dawn porter,1991,ludwig van beethoven,nyree dawn porter
17388,2174,Lilacs Out Of The Dead Land by Manos Hadjidakis,3/30/1970,70,70-100,70-100-nyree dawn porter,1991,manos hadjidakis,nyree dawn porter
17389,2174,Brief Lives by Roy Dotrice,3/30/1970,70,70-101,70-101-nyree dawn porter,1991,roy dotrice,nyree dawn porter
17390,2174,"La fille aux cheveux de lin (from Preludes, Book 1) by Claude Debussy",3/30/1970,70,70-102,70-102-nyree dawn porter,1991,claude debussy,nyree dawn porter
17391,2174,Let The Sunshine In by Paul Nicholas & Annabel Leventen,3/30/1970,70,70-103,70-103-nyree dawn porter,1991,paul nicholas annabel leventen,nyree dawn porter
17376,2173,Brandenburg Concerto No. 4 In G Major by Johann Sebastian Bach,4/6/1970,70,70-104,70-104-sheridan russell,2486,johann sebastian bach,sheridan russell
17377,2173,Symphony Of Psalms by Igor Stravinsky,4/6/1970,70,70-105,70-105-sheridan russell,2486,igor stravinsky,sheridan russell
17378,2173,String Sextet No. 2 in G major by Johannes Brahms,4/6/1970,70,70-106,70-106-sheridan russell,2486,johannes brahms,sheridan russell
