Id,Label,std_artist
60-142,60-142-anthony newley,carl orff
60-143,60-143-anthony newley,ralph vaughan williams
60-144,60-144-anthony newley,pyotr ilyich tchaikovsky
60-145,60-145-david langdon,giacomo puccini
60-146,60-146-david langdon,fats waller
60-147,60-147-david langdon,wolfgang amadeus mozart
60-148,60-148-david langdon,eddie condon
60-149,60-149-david langdon,jean sibelius
60-150,60-150-david langdon,israel itzhaki
60-151,60-151-david langdon,bela bartok
60-152,60-152-david langdon,carol lawrence marilyn cooper et al
60-153,60-153-shirley bassey,sammy davis jr
60-154,60-154-shirley bassey,the chipmunks
60-155,60-155-shirley bassey,frank sinatra
60-156,60-156-shirley bassey,claude debussy
60-157,60-157-shirley bassey,judy garland
60-158,60-158-shirley bassey,harry secombe
60-159,60-159-shirley bassey,shirley bassey
60-160,60-160-brian rix,the band
60-161,60-161-brian rix,pyotr ilyich tchaikovsky
60-162,60-162-brian rix,tommy watt and his orchestra
60-163,60-163-brian rix,frank sinatra
60-164,60-164-brian rix,sammy davis jr
60-165,60-165-brian rix,count basie
60-166,60-166-brian rix,billy may his orchestra
60-167,60-167-brian rix,nat king cole
60-168,60-168-liberace,sergey rachmaninov
60-169,60-169-liberace,pyotr ilyich tchaikovsky
60-170,60-170-liberace,nikolai rimsky korsakov
60-171,60-171-liberace,glenn miller
60-172,60-172-liberace,the mantovani orchestra
60-173,60-173-liberace,richard strauss
60-174,60-174-liberace,giacomo puccini
60-175,60-175-liberace,frank sinatra
60-176,60-176-marie rambert,mazowsze choral ensemble
60-177,60-177-marie rambert,modest mussorgsky
60-178,60-178-marie rambert,peter warlock
60-179,60-179-marie rambert,ernest chausson
60-180,60-180-marie rambert,christoph willibald gluck
60-181,60-181-marie rambert,william shakespeare
60-182,60-182-marie rambert,johann sebastian bach
60-183,60-183-dickie henderson,glenn miller
60-184,60-184-dickie henderson,frank sinatra
60-185,60-185-dickie henderson,spike jones and his city slickers
60-186,60-186-dickie henderson,howard keel
60-187,60-187-dickie henderson,erroll garner
60-188,60-188-dickie henderson,deborah kerr
60-189,60-189-dickie henderson,maurice chevalier
60-190,60-190-dickie henderson,ethel merman
60-191,60-191-professor a c b lovell,ludwig van beethoven
60-192,60-192-professor a c b lovell,johannes brahms
