Source,Target,Type,Weight
50-2042,20-401,Undirected,1
40-409,50-1087,Undirected,1
50-2821,10-2038,Undirected,1
40-120,50-3034,Undirected,1
50-2174,10-1663,Undirected,1
50-1148,50-2252,Undirected,1
50-1141,10-36,Undirected,1
50-984,10-2682,Undirected,1
40-372,10-1471,Undirected,1
50-66,50-999,Undirected,1
10-940,10-2658,Undirected,1
40-412,10-642,Undirected,1
10-2342,20-173,Undirected,1
40-15,50-2957,Undirected,1
40-512,50-2125,Undirected,1
50-74,50-148,Undirected,1
50-2859,10-1192,Undirected,1
50-1036,50-2202,Undirected,1
50-2828,10-882,Undirected,1
10-1499,10-2189,Undirected,1
50-1437,10-2813,Undirected,1
50-2422,10-3036,Undirected,1
40-120,50-2675,Undirected,1
40-375,50-921,Undirected,1
50-1818,10-2882,Undirected,1
50-2579,10-1885,Undirected,1
50-1945,50-2961,Undirected,1
50-130,50-1938,Undirected,1
40-382,50-2274,Undirected,1
50-2262,10-1769,Undirected,1
50-2363,10-869,Undirected,1
10-1068,10-2682,Undirected,1
10-753,10-2575,Undirected,1
50-1520,50-3022,Undirected,1
40-9,50-2719,Undirected,1
10-2695,10-2774,Undirected,1
50-333,50-2340,Undirected,1
50-1424,10-1955,Undirected,1
50-3126,10-111,Undirected,1
50-2125,10-1162,Undirected,1
10-1010,10-1704,Undirected,1
50-2945,10-2680,Undirected,1
50-2965,10-3039,Undirected,1
50-1292,50-1377,Undirected,1
50-1226,50-2529,Undirected,1
50-1812,50-2172,Undirected,1
50-1847,20-186,Undirected,1
50-900,50-3001,Undirected,1
10-1214,10-2775,Undirected,1
10-388,10-1428,Undirected,1
50-150,50-538,Undirected,1
40-435,40-454,Undirected,1
50-2126,50-2221,Undirected,1
40-485,50-1195,Undirected,1
40-178,50-1984,Undirected,1
40-62,50-1194,Undirected,1
50-55,50-953,Undirected,1
50-363,10-148,Undirected,1
40-249,50-1334,Undirected,1
50-1096,10-1609,Undirected,1
50-1046,50-1293,Undirected,1
50-203,50-738,Undirected,1
50-263,50-406,Undirected,1
50-1308,50-2785,Undirected,1
50-1250,10-2510,Undirected,1
50-577,10-2120,Undirected,1
40-401,50-1847,Undirected,1
50-1187,10-694,Undirected,1
50-2262,10-931,Undirected,1
10-2312,10-2734,Undirected,1
50-1817,50-2422,Undirected,1
40-369,10-1010,Undirected,1
50-1791,50-2602,Undirected,1
50-842,10-299,Undirected,1
10-704,10-880,Undirected,1
50-510,10-2584,Undirected,1
50-2483,50-2722,Undirected,1
50-3128,10-2948,Undirected,1
50-66,50-1453,Undirected,1
50-1393,50-2549,Undirected,1
50-508,50-2867,Undirected,1
40-153,40-437,Undirected,1
50-1818,10-174,Undirected,1
40-228,50-3184,Undirected,1
50-482,10-1361,Undirected,1
10-1173,10-1341,Undirected,1
50-2481,10-694,Undirected,1
50-1276,50-2472,Undirected,1
10-2071,10-2778,Undirected,1
10-320,10-1175,Undirected,1
50-1916,10-2815,Undirected,1
50-1315,50-1887,Undirected,1
50-1349,50-3170,Undirected,1
50-2719,10-1280,Undirected,1
50-2145,50-2581,Undirected,1
10-2314,20-42,Undirected,1
50-1187,10-2506,Undirected,1
50-2917,10-753,Undirected,1
50-526,10-2499,Undirected,1
50-2884,10-1623,Undirected,1
50-681,50-1033,Undirected,1
50-984,50-2029,Undirected,1
50-1004,50-3177,Undirected,1
50-237,50-2587,Undirected,1
50-978,50-1216,Undirected,1
50-1534,50-3035,Undirected,1
10-1507,20-305,Undirected,1
40-54,50-88,Undirected,1
50-1169,50-2127,Undirected,1
40-182,50-1313,Undirected,1
50-2642,10-936,Undirected,1
40-151,50-461,Undirected,1
50-1085,10-2712,Undirected,1
50-2481,10-2506,Undirected,1
50-1527,50-1819,Undirected,1
40-459,10-2679,Undirected,1
10-880,10-917,Undirected,1
50-896,10-992,Undirected,1
10-121,10-671,Undirected,1
50-1500,10-1570,Undirected,1
50-1453,10-860,Undirected,1
10-36,10-1632,Undirected,1
40-489,50-3056,Undirected,1
50-2559,10-2499,Undirected,1
50-250,50-1950,Undirected,1
50-351,50-513,Undirected,1
50-168,50-412,Undirected,1
10-513,10-1317,Undirected,1
50-415,10-1720,Undirected,1
50-1361,10-1873,Undirected,1
50-1220,10-558,Undirected,1
50-1488,50-1791,Undirected,1
40-441,50-418,Undirected,1
50-1263,50-2517,Undirected,1
40-147,10-1731,Undirected,1
40-1,50-82,Undirected,1
10-1361,10-1798,Undirected,1
50-914,50-2262,Undirected,1
50-756,10-869,Undirected,1
50-832,50-2122,Undirected,1
40-522,50-3042,Undirected,1
10-769,10-1115,Undirected,1
50-1967,10-2883,Undirected,1
40-130,10-1504,Undirected,1
50-412,10-2806,Undirected,1
50-449,50-664,Undirected,1
50-314,50-412,Undirected,1
50-415,50-3045,Undirected,1
50-263,50-1783,Undirected,1
50-1526,50-1843,Undirected,1
50-666,50-2739,Undirected,1
10-880,10-2575,Undirected,1
10-138,10-1904,Undirected,1
50-632,10-1702,Undirected,1
50-2298,10-1023,Undirected,1
40-299,50-1226,Undirected,1
40-177,50-3105,Undirected,1
50-1818,50-2686,Undirected,1
50-3181,10-1649,Undirected,1
50-2982,10-1774,Undirected,1
50-199,50-613,Undirected,1
10-109,10-2267,Undirected,1
50-2172,50-2563,Undirected,1
10-202,10-2484,Undirected,1
50-2396,20-406,Undirected,1
50-168,10-285,Undirected,1
40-255,10-1296,Undirected,1
50-2585,10-497,Undirected,1
50-1039,50-1165,Undirected,1
50-1141,10-2883,Undirected,1
50-2381,10-1975,Undirected,1
10-2945,20-186,Undirected,1
50-1144,50-2811,Undirected,1
10-200,10-1270,Undirected,1
40-446,10-2774,Undirected,1
50-791,50-2963,Undirected,1
50-2946,10-2307,Undirected,1
50-1605,50-1655,Undirected,1
10-2145,10-2821,Undirected,1
50-538,50-2126,Undirected,1
40-501,50-2232,Undirected,1
50-576,50-2298,Undirected,1
50-2195,50-3044,Undirected,1
40-255,50-2321,Undirected,1
50-1061,50-1874,Undirected,1
40-517,50-95,Undirected,1
50-56,50-983,Undirected,1
10-1294,20-150,Undirected,1
10-1045,10-1769,Undirected,1
50-1250,10-1665,Undirected,1
50-1336,50-2161,Undirected,1
40-445,50-316,Undirected,1
40-509,50-524,Undirected,1
50-2168,50-2439,Undirected,1
40-489,50-510,Undirected,1
10-381,10-858,Undirected,1
50-71,50-853,Undirected,1
50-1144,50-2612,Undirected,1
10-694,10-1076,Undirected,1
50-969,10-2916,Undirected,1
50-201,50-2472,Undirected,1
50-449,10-96,Undirected,1
40-412,50-732,Undirected,1
50-2140,50-2910,Undirected,1
40-489,10-165,Undirected,1
50-1598,50-2514,Undirected,1
10-181,10-1410,Undirected,1
50-738,50-1630,Undirected,1
50-1072,50-3092,Undirected,1
10-988,10-1761,Undirected,1
50-601,50-2480,Undirected,1
50-377,50-842,Undirected,1
10-1200,10-1570,Undirected,1
50-2769,10-2880,Undirected,1
10-1366,10-1602,Undirected,1
50-773,50-2314,Undirected,1
50-1096,10-2815,Undirected,1
50-2170,10-1077,Undirected,1
50-2074,50-2488,Undirected,1
50-785,50-2990,Undirected,1
50-95,10-2712,Undirected,1
50-2337,50-2439,Undirected,1
40-409,50-2518,Undirected,1
40-195,50-1715,Undirected,1
40-443,10-979,Undirected,1
50-531,50-1868,Undirected,1
50-323,50-1180,Undirected,1
40-517,50-943,Undirected,1
50-1315,20-266,Undirected,1
50-1836,10-926,Undirected,1
50-1038,50-2146,Undirected,1
50-3070,10-338,Undirected,1
50-1255,50-2760,Undirected,1
50-145,10-979,Undirected,1
50-1162,50-2641,Undirected,1
10-388,10-671,Undirected,1
50-1541,50-2206,Undirected,1
40-273,10-866,Undirected,1
50-808,50-816,Undirected,1
50-1640,10-1154,Undirected,1
50-2630,10-505,Undirected,1
50-632,50-2063,Undirected,1
50-1038,50-3192,Undirected,1
50-475,50-1651,Undirected,1
10-2076,10-2543,Undirected,1
10-131,10-931,Undirected,1
50-2172,50-2684,Undirected,1
50-1160,10-2081,Undirected,1
50-929,50-2528,Undirected,1
50-827,50-2061,Undirected,1
50-517,50-2589,Undirected,1
40-432,50-991,Undirected,1
50-677,10-1241,Undirected,1
10-500,10-1213,Undirected,1
10-1273,10-1290,Undirected,1
10-121,10-180,Undirected,1
50-2454,10-1729,Undirected,1
50-636,10-931,Undirected,1
50-309,10-2252,Undirected,1
50-2684,10-2307,Undirected,1
50-2000,10-2423,Undirected,1
10-1103,10-2839,Undirected,1
50-2424,50-3029,Undirected,1
50-1894,20-84,Undirected,1
40-116,50-1638,Undirected,1
50-238,50-1325,Undirected,1
50-455,10-640,Undirected,1
50-41,50-1524,Undirected,1
50-2925,10-1125,Undirected,1
40-511,50-1488,Undirected,1
50-1646,50-2090,Undirected,1
50-2529,10-1711,Undirected,1
50-980,50-2026,Undirected,1
10-894,10-2727,Undirected,1
