Unique Identifier,episode_ref,track_name,date,decade,decade_episode,decade_episode_castaway_name,castaway_ref,std_artist,std_name
22964,2872,Glorious Devon by Harold Williams and Male Chorus,1/4/1960,60,60-1,60-1-s p b mais,2449,harold williams,s p b mais
22965,2872,On Ilkla Moor Baht 'at by Leslie Sarony,1/4/1960,60,60-2,60-2-s p b mais,2449,leslie sarony,s p b mais
22966,2872,Skye Boat Song by John McHugh,1/4/1960,60,60-3,60-3-s p b mais,2449,john mchugh,s p b mais
22967,2872,Sussex by the Sea  (March) by HM RAF Band,1/4/1960,60,60-4,60-4-s p b mais,2449,hm raf band,s p b mais
22968,2872,D' Ye Ken John Peel by Stuart Robertson,1/4/1960,60,60-5,60-5-s p b mais,2449,stuart robertson,s p b mais
22969,2872,Sea Fever by Frederick Harvey,1/4/1960,60,60-6,60-6-s p b mais,2449,frederick harvey,s p b mais
22970,2872,Smoke Gets in Your Eyes by Eartha Kitt,1/4/1960,60,60-7,60-7-s p b mais,2449,eartha kitt,s p b mais
22971,2872,Who Would True Valour See by Sutton High School Choir,1/4/1960,60,60-8,60-8-s p b mais,2449,sutton high school choir,s p b mais
21516,2691,Bugle Call Rag by Red Nichols and His Five Pennies,1/11/1960,60,60-9,60-9-semprini,2479,red nichols and his five pennies,semprini
21517,2691,Symphony No. 8 in B minor 'Unfinished' by Franz Schubert,1/11/1960,60,60-10,60-10-semprini,2479,franz schubert,semprini
21518,2691,When I Go to Chile by Carmen Amaya and Sabicas,1/11/1960,60,60-11,60-11-semprini,2479,carmen amaya and sabicas,semprini
21519,2691,Passacaglia and Fugue in C Minor by Johann Sebastian Bach,1/11/1960,60,60-12,60-12-semprini,2479,johann sebastian bach,semprini
21520,2691,The maiden and the nightingale (from Goyescas) by Enrique Granados,1/11/1960,60,60-13,60-13-semprini,2479,enrique granados,semprini
21521,2691,Yesterdays by Jo Stafford,1/11/1960,60,60-14,60-14-semprini,2479,jo stafford,semprini
21522,2691,"Frédéric Chopin - Piano Sonata No. 3 in B minor, Op. 58",1/11/1960,60,60-15,60-15-semprini,2479,frédéric chopin,semprini
21523,2691,Daphnis and Chloe Suite No. 2 by Maurice Ravel,1/11/1960,60,60-16,60-16-semprini,2479,maurice ravel,semprini
21508,2690,Don't Explain by Billie Holiday,1/18/1960,60,60-17,60-17-joan heal,1332,billie holiday,joan heal
21509,2690,Violins by Kay Thompson,1/18/1960,60,60-18,60-18-joan heal,1332,kay thompson,joan heal
21510,2690,Tremolo Study by Andrés Segovia,1/18/1960,60,60-19,60-19-joan heal,1332,andres segovia,joan heal
21511,2690,L'Accordeoniste by Édith Piaf,1/18/1960,60,60-20,60-20-joan heal,1332,edith piaf,joan heal
21512,2690,Begin the Beguine by Eddie Heywood and His Orchestra,1/18/1960,60,60-21,60-21-joan heal,1332,eddie heywood and his orchestra,joan heal
21513,2690,Fantasia On Greensleeves by Ralph Vaughan Williams,1/18/1960,60,60-22,60-22-joan heal,1332,ralph vaughan williams,joan heal
21514,2690,Early Morning by Inmates of the Mississippi State Penitentiary,1/18/1960,60,60-23,60-23-joan heal,1332,inmates of the mississippi state penitentiary,joan heal
21515,2690,Pavane pour une infante défunte by Maurice Ravel,1/18/1960,60,60-24,60-24-joan heal,1332,maurice ravel,joan heal
21500,2689,Bourrasque by Dutch Barrel Organ,1/25/1960,60,60-25,60-25-antonia ridge,172,dutch barrel organ,antonia ridge
21501,2689,Ah! je ris (Jewel Song) (from Faust) by Charles-François Gounod,1/25/1960,60,60-26,60-26-antonia ridge,172,charles francois gounod,antonia ridge
21502,2689,Fantasia On Greensleeves by Ralph Vaughan Williams,1/25/1960,60,60-27,60-27-antonia ridge,172,ralph vaughan williams,antonia ridge
21503,2689,Ma Normandie by Réda Caire,1/25/1960,60,60-28,60-28-antonia ridge,172,reda caire,antonia ridge
21504,2689,Élégie by Jules Massenet,1/25/1960,60,60-29,60-29-antonia ridge,172,jules massenet,antonia ridge
21505,2689,The Happy Wanderer by The Obernkirchen Children's Choir,1/25/1960,60,60-30,60-30-antonia ridge,172,children s choir,antonia ridge
21506,2689,Flight of the bumble-bee (from The Tale of Tsar Saltan) by Nikolai Rimsky-Korsakov,1/25/1960,60,60-31,60-31-antonia ridge,172,nikolai rimsky korsakov,antonia ridge
21507,2689,Panis Angelicus by César Franck,1/25/1960,60,60-32,60-32-antonia ridge,172,cesar franck,antonia ridge
22956,2871,Pomp & Circumstance March No. 1 in D major 'Land of Hope and Glory' by Edward Elgar,2/1/1960,60,60-33,60-33-barrington dalby,235,edward elgar,barrington dalby
22957,2871,Mad Dogs and Englishmen by Noël Coward,2/1/1960,60,60-34,60-34-barrington dalby,235,noel coward,barrington dalby
22958,2871,Sérénade (Quand tu chantes) by Charles-François Gounod,2/1/1960,60,60-35,60-35-barrington dalby,235,charles francois gounod,barrington dalby
22959,2871,Bella figlia dell'amore (from Rigoletto) by Giuseppe Verdi,2/1/1960,60,60-36,60-36-barrington dalby,235,giuseppe verdi,barrington dalby
22960,2871,Entry into Westminster Abbey and Greeting by Coronation of HM Queen Elizabeth II,2/1/1960,60,60-37,60-37-barrington dalby,235,coronation of hm queen elizabeth ii,barrington dalby
22961,2871,Piano Concerto No. 2 in G minor by Camille Saint-Saëns,2/1/1960,60,60-38,60-38-barrington dalby,235,camille saint saens,barrington dalby
22962,2871,The Dashing White Sargeant by Glasgow Orpheus Choir,2/1/1960,60,60-39,60-39-barrington dalby,235,glasgow orpheus choir,barrington dalby
22963,2871,A New Fangled Tango by Lena Horne,2/1/1960,60,60-40,60-40-barrington dalby,235,lena horne,barrington dalby
21492,2688,Symphony No. 7 in D minor by Antonín Dvořák,2/8/1960,60,60-41,60-41-herbert lom,1114,antonin dvorak,herbert lom
21493,2688,A Pretty Girl is Like a Melody by Tony Martin,2/8/1960,60,60-42,60-42-herbert lom,1114,tony martin,herbert lom
21494,2688,To be or not to be (from Hamlet) by William Shakespeare,2/8/1960,60,60-43,60-43-herbert lom,1114,william shakespeare,herbert lom
21495,2688,Symphony No. 7 in C major 'Leningrad' by Dmitry Shostakovich,2/8/1960,60,60-44,60-44-herbert lom,1114,dmitry shostakovich,herbert lom
21496,2688,People Will Say We're in Love by Betty Jane Watson,2/8/1960,60,60-45,60-45-herbert lom,1114,betty jane watson,herbert lom
21497,2688,Something Wonderful by Muriel Smith,2/8/1960,60,60-46,60-46-herbert lom,1114,muriel smith,herbert lom
21498,2688,The Shrovetide Fair (from Petrushka) by Igor Stravinsky,2/8/1960,60,60-47,60-47-herbert lom,1114,igor stravinsky,herbert lom
21499,2688,Applause by The Orphans,2/8/1960,60,60-48,60-48-herbert lom,1114,the orphans,herbert lom
21484,2687,Io de' sospiri (Shepherd boy's song) (from Tosca) by Giacomo Puccini,2/15/1960,60,60-49,60-49-leon goossens,1579,giacomo puccini,leon goossens
21485,2687,Nocturno by Andrés Segovia,2/15/1960,60,60-50,60-50-leon goossens,1579,andres segovia,leon goossens
21486,2687,"Chorale Prelude: Ich ruf' zu dir, Herr Jesu Christ by Johann Sebastian Bach",2/15/1960,60,60-51,60-51-leon goossens,1579,johann sebastian bach,leon goossens
21487,2687,Oboe Quartet in F major by Wolfgang Amadeus Mozart,2/15/1960,60,60-52,60-52-leon goossens,1579,wolfgang amadeus mozart,leon goossens
21488,2687,Misalliance by Flanders and Swann,2/15/1960,60,60-53,60-53-leon goossens,1579,flanders and swann,leon goossens
21489,2687,Richard Wagner - Magic Fire Music (from Die Walküre),2/15/1960,60,60-54,60-54-leon goossens,1579,richard wagner,leon goossens
21490,2687,The Crowning by Coronation of HM Queen Elizabeth II,2/15/1960,60,60-55,60-55-leon goossens,1579,coronation of hm queen elizabeth ii,leon goossens
21491,2687,Arrival of the Queen of Sheba (from Solomon) by George Frideric Handel,2/15/1960,60,60-56,60-56-leon goossens,1579,george frideric handel,leon goossens
21476,2686,Gia il Sole dal Gange by Alessandro Scarlatti,2/22/1960,60,60-57,60-57-sir arthur bryant,2528,alessandro scarlatti,sir arthur bryant
21477,2686,O What a Pain it is to Part (The Beggar's Opera) by Audrey Mildmay & Michael Redgrave,2/22/1960,60,60-58,60-58-sir arthur bryant,2528,michael redgrave,sir arthur bryant
21478,2686,Mock Morris by The Boyd Neel Orchestra,2/22/1960,60,60-59,60-59-sir arthur bryant,2528,the boyd neel orchestra,sir arthur bryant
