Source,Target,Type,Weight
1712,2414,Undirected,1
649,1560,Undirected,1
2802,54,Undirected,1
609,2305,Undirected,1
912,923,Undirected,1
1276,2808,Undirected,1
2840,1560,Undirected,1
2840,649,Undirected,1
609,1732,Undirected,1
1732,2305,Undirected,1
2305,1191,Undirected,1
609,1191,Undirected,1
217,2530,Undirected,1
1732,1191,Undirected,1
1854,1567,Undirected,1
928,2831,Undirected,1
509,465,Undirected,1
