Unique Identifier,episode_ref,track_name,date,decade,decade_episode,decade_episode_castaway_name,castaway_ref,std_artist,std_artist_id,std_name,Randomized selection
24618,3078,Johann Strauss II - Die Fledermaus Overture,6/28/1955,50,50-1375,50-1375-michael redgrave,1868,johann strauss ii,art-35,michael redgrave,TRUE
9866,1235,Piano Concerto No. 1 in D minor by Johannes Brahms,3/2/1990,90,90-64,90-64-john sessions,1413,johannes brahms,art-36,john sessions,TRUE
1358,171,Theme from Schindler's List by John Williams,1/22/2016,10,10-1905,10-1905-sir anthony seldon,2524,john williams,art-37,sir anthony seldon,TRUE
7946,995,I Gave My Love A Cherry by Josh White,3/1/1996,90,90-1949,90-1949-sir roy calne,2641,josh white,art-38,sir roy calne,TRUE
11416,1428,Brazil by Les Paul,3/8/1985,80,80-2077,80-2077-jorge bolet,1443,les paul,art-39,jorge bolet,TRUE
20047,2507,Waltzing Matilda by Leslie Ross Singers,9/30/1963,60,60-1588,60-1588-group captain leonard cheshire,1047,leslie ross singers,art-40,group captain leonard cheshire,TRUE
22090,2762,Shadrack by Louis Armstrong,1/5/1946,40,40-532,40-532-barbara mullen,217,louis armstrong,art-41,barbara mullen,TRUE
1992,250,What A Wonderful World by Louis Armstrong,1/31/2014,10,10-1296,10-1296-sir ben ainslie,2530,louis armstrong,art-41,sir ben ainslie,TRUE
19829,2479,Symphony No. 7 in A major by Ludwig van Beethoven,5/11/1964,60,60-1814,60-1814-david kossoff,609,ludwig van beethoven,art-42,david kossoff,TRUE
16369,2048,Für Elise by Ludwig van Beethoven,9/18/1972,70,70-1125,70-1125-margaret lockwood,1732,ludwig van beethoven,art-42,margaret lockwood,TRUE
13469,1685,Symphony No. 9 in D minor 'Choral' by Ludwig van Beethoven,11/2/1979,70,70-4030,70-4030-roald dahl,2305,ludwig van beethoven,art-42,roald dahl,TRUE
6379,799,"Piano Sonata No. 23 in F minor, Op. 57 'Appassionata' by Ludwig van Beethoven",11/10/2000,00,00-287,00-287-j k rowling,1191,ludwig van beethoven,art-42,j k rowling,TRUE
13106,1640,Disc Jockey by Mike Nichols and Elaine May,9/26/1980,80,80-294,80-294-michael powell,1866,mike nichols and elaine may,art-43,michael powell,TRUE
18168,2272,In the Shadows by New Concert Orchestra,5/13/1968,60,60-3508,60-3508-leslie sarony,1602,new concert orchestra,art-44,leslie sarony,TRUE
7436,931,Baltimore by Nina Simone,10/17/1997,90,90-2494,90-2494-rose tremain,2372,nina simone,art-45,rose tremain,TRUE
468,3284,Quartet for the End of Time by Olivier Messiaen,7/25/2021,20,20-445,20-445-robert macfarlane,3000,olivier messiaen,art-46,robert macfarlane,TRUE
12628,1580,Serenade To Music by Ralph Vaughan Williams,12/25/1981,80,80-802,80-802-helene hanff,1097,ralph vaughan williams,art-47,helene hanff,TRUE
12438,1556,Lief by Rhos Male Voice Choir,6/11/1982,80,80-986,80-986-delia smith,645,rhos male voice choir,art-48,delia smith,TRUE
9965,1247,Liebestod (from Tristan und Isolde),12/1/1989,80,80-3440,80-3440-lady mosley,1557,richard wagner,art-49,lady mosley,TRUE
14037,1756,The Impossible Dream by Roberta Flack,6/13/1978,70,70-3475,70-3475-derek jacobi,661,roberta flack,art-50,derek jacobi,TRUE
8371,1048,Maple Leaf Rag by Scott Joplin,6/5/1998,90,90-2748,90-2748-kathleen hale,1507,scott joplin,art-51,kathleen hale,TRUE
20890,2612,You'll Never Know by Shirley Bassey,10/2/1961,60,60-730,60-730-tommy reilly,2802,shirley bassey,art-52,tommy reilly,TRUE
11033,1381,If You Go Away by Shirley Bassey,10/31/1986,80,80-2436,80-2436-albert michel roux,54,shirley bassey,art-52,albert michel roux,TRUE
5506,690,Night Mail - Post Office Publicity Film 1936 by Stuart Legg,5/9/2003,00,00-1135,00-1135-professor a h halsey,2151,stuart legg,art-53,professor a h halsey,TRUE
22391,2800,Stars And Stripes Forever by The Band of the Coldstream Guards,6/19/1943,40,40-225,40-225-frank swinnerton,912,the band,art-54,frank swinnerton,TRUE
23795,2975,Sussex By The Sea by Central Band of the Royal Air Force,7/15/1957,50,50-2187,50-2187-fred streeter,923,the band,art-54,fred streeter,TRUE
4786,600,The Long and Winding Road by The Beatles,7/8/2005,00,00-1828,00-1828-paulo coelho,2069,the beatles,art-55,paulo coelho,TRUE
37,3230,Calm Down by The Clementines,3/22/2020,20,20-87,20-87-dame helena morrissey,2947,the clementines,art-56,dame helena morrissey,TRUE
17787,2224,Greensleeves by The Melachrino Strings,4/7/1969,60,60-3893,60-3893-sir alec rose,2520,the melachrino strings,art-57,sir alec rose,TRUE
2607,327,My Prayer by The Platters,3/16/2012,10,10-715,10-715-jackie mason,1217,the platters,art-58,jackie mason,TRUE
2761,347,There is a Light that Never Goes Out by The Smiths,10/28/2011,10,10-566,10-566-mark gatiss,1762,the smiths,art-59,mark gatiss,TRUE
2264,284,Simply the Best by Tina Turner,3/22/2013,10,10-1036,10-1036-julie goodyear,1485,tina turner,art-60,julie goodyear,TRUE
808,102,Galang (Trio Riot Version) by Vijay Iyer Trio,10/6/2017,10,10-2402,10-2402-siddhartha mukherjee,2496,vijay iyer trio,art-61,siddhartha mukherjee,TRUE
4648,582,Träumerei by Vladimir Horowitz,1/13/2006,00,00-1973,00-1973-richard griffiths,2281,vladimir horowitz,art-62,richard griffiths,TRUE
14498,1814,Clarinet Concerto in A major by Wolfgang Amadeus Mozart,4/25/1977,70,70-3006,70-3006-magnus magnusson,1712,wolfgang amadeus mozart,art-63,magnus magnusson,TRUE
10337,1294,Piano Concerto No. 23 in A major by Wolfgang Amadeus Mozart,10/28/1988,80,80-3096,80-3096-rt hon michael foot,2414,wolfgang amadeus mozart,art-63,rt hon michael foot,TRUE
